
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 THE	28674422	
2		 A	11663600	
3		 AN	1716357	
4		 NO	549425	
5		 EVERY	283036	
6		 -A	1550	
7		 	900	
8		 -THE	720	
9		 	581	
10		 IT	169	
11		 NA	118	
12		 HIM	68	
13		 ME	67	
14		 THEM	66	
15		 LIFE	64	
16		 TIME	60	
17		 STATE-OF-THE	55	
18		 YEARS	52	
19		 HER	52	
20		 ALL	51	
21		 OUT	48	
22		 DAY	47	
23		 ONE	45	
24		 TO	45	
25		 OF	44	
26		 ON	43	
27		 THAT	42	
28		 M	41	
29		 YEAR	40	
30		 IN	39	
31		 HERE	38	
32		 WORLD	38	
33		 WAS	38	
34		 ROOM	36	
35		 UP	35	
36		 EVERYTHING	35	
37		 A/K/A	35	
38		 IS	34	
39		 THIS	34	
40		 OVER	34	
41		 PEOPLE	33	
42		 THERE	32	
43		 ZE	32	
44		 SYSTEM	29	
45		 FOR	29	
46		 HOUSE	29	
47		 RIGHT	28	
48		 PLACE	28	
49		 YOU	28	
50		 WAY	28	
51		 WORK	27	
52		 THINGS	27	
53		 US	27	
54		 OTHERS	27	
55		 T'	27	
56		 TOO	26	
57		 NOW	25	
58		 HISTORY	25	
59		 MAN	25	
60		 DAYS	25	
61		 A/A	24	
62		 AGAIN	24	
63		 HOME	24	
64		 BODY	23	
65		 OFF	23	
66		 STORY	23	
67		 WELL	23	
68		 THING	22	
69		 ABOUT	22	
70		 COURSE	22	
71		 AMERICA	21	
72		 BEFORE	21	
73		 WATER	21	
74		 R	20	
75		 BACK	20	
76		 AND	20	
77		 DOWN	20	
78		 ELSE	20	
79		 EVENT	19	
80		 FATHER	19	
81		 MIND	19	
82		 BY	19	
83		 SCHOOL	19	
84		 WOMEN	19	
85		 WITH	18	
86		 SIDE	18	
87		 STUFF	18	
88		 SOMETHING	18	
89		 NAME	18	
90		 AWAY	18	
91		 BE	18	
92		 CITY	18	
93		 MEN	18	
94		 LINE	18	
95		 FACE	18	
96		 FAMILY	18	
97		 FRIENDS	18	
98		 FROM	18	
99		 DID	17	
100		 BEHIND	17	
101		 ANOTHER	17	
102		 NIGHT	17	
103		 POINT	16	
104		 STORIES	16	
105		 AREA	16	
106		 2	16	
107		 DO	16	
108		 END-OF-THE	16	
109		 EARTH	16	
110		 I	16	
111		 KNOW	16	
112		 ITSELF	15	
113		 LOVE	15	
114		 MOMENT	15	
115		 MORE	15	
116		 EVENTS	15	
117		 GAME	15	
118		 HIMSELF	15	
119		 HEAD	15	
120		 -EVERY	15	
121		 AT	15	
122		 NO-NO	15	
123		 OWN	15	
124		 PAST	14	
125		 OFFICE	14	
126		 PROBLEM	14	
127		 PROCESS	14	
128		 TABLE	14	
129		 SEASON	14	
130		 WAR	14	
131		 TOGETHER	14	
132		 TURN-OF-THE	14	
133		 AGO	14	
134		 COUNTRY	14	
135		 CENTURY	14	
136		 GROUPS	14	
137		 HAND	14	
138		 LOOK	14	
139		 ISSUE	13	
140		 CAR	13	
141		 ART	13	
142		 ANYWAY	13	
143		 BOOK	13	
144		 UNIVERSE	13	
145		 TOP-OF-THE	13	
146		 THEMSELVES	13	
147		 WINDOW	13	
