
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 AND	14247786	
2		 THAT	4490899	
3		 BUT	2358824	
4		 OR	1802436	
5		 AS	1689241	
6		 IF	1222053	
7		 WHEN	892936	
8		 THAN	761316	
9		 BECAUSE	584976	
10		 WHILE	310658	
11		 WHERE	282842	
12		 SO	252122	
13		 THOUGH	202768	
14		 AFTER	188845	
15		 UNTIL	187601	
16		 SINCE	183107	
17		 WHETHER	161124	
18		 BEFORE	142197	
19		 ALTHOUGH	137434	
20		 EVEN	104699	
21		 LIKE	51041	
22		 NOR	46513	
23		 &	45360	
24		 ONCE	42734	
25		 UNLESS	35385	
26		 NOW	24891	
27		 LONG	24638	
28		 EXCEPT	23768	
29		 FAR	20286	
30		 FOR	18423	
31		 SOON	17647	
32		 RATHER	17469	
33		 WHEREAS	17233	
34		 NOT	14361	
35		 IN	13176	
36		 AND/OR	12028	
37		 PROVIDED	9848	
38		 CASE	7830	
39		 CONSIDERING	6590	
40		 TILL	6544	
41		 GIVEN	6482	
42		 ALBEIT	4673	
43		 SEEING	3827	
44		 SUCH	3305	
45		 	2454	
46		 LEST	2345	
47		 OF	2030	
48		 INSTEAD	2019	
49		 INSOFAR	1859	
50		 &	1118	
51		 IMMEDIATELY	814	
52		 PROVIDING	688	
53		 INASMUCH	670	
54		 WHEREUPON	636	
55		 WHILST	620	
56		 PLUS	590	
57		 	439	
58		 -THAT	362	
59		 SUPPOSING	335	
60		 COS	319	
61		 ERE	312	
62		 EITHER/OR	290	
63		 SAVE	246	
64		 -IF	195	
65		 ACCORDING	190	
66		 -BECAUSE	184	
67		 WHAT-IF	153	
68		 MUCH	146	
69		 CEPT	126	
70		 AFORE	98	
71		 IFF	73	
72		 WHEN/WHERE	64	
73		 IT	58	
74		 ROCK-'N	44	
75		 BE-CAUSE	42	
76		 YOU	35	
77		 -AND	32	
78		 HIM	32	
79		 ME	28	
80		 WAY	28	
81		 BAR	26	
82		 LESS-THAN	25	
83		 TIME	25	
84		 TOO	25	
85		 THEN	25	
86		 THEM	25	
87		 -AS	24	
88		 LIFE	23	
89		 IS	23	
90		 HER	20	
91		 AND-BECAUSE	20	
92		 UP	20	
93		 WAS	18	
94		 WORLD	18	
95		 WORK	18	
96		 -BEFORE	18	
97		 -THAN	18	
98		 AGAIN	18	
99		 HERE	18	
100		 OUT	18	
101		 AL-THOUGH	17	
102		 -BUT	16	
103		 DO	16	
104		 PEOPLE	16	
105		 THERE	16	
106		 THING	16	
107		 RIGHT	16	
108		 SAY	16	
109		 THIS	15	
110		 SYSTEM	15	
111		 KNOW	15	
112		 DID	15	
113		 -UNTIL	15	
114		 -SINCE	14	
115		 -WHETHER	14	
116		 MORE-THAN	14	
117		 WHICH	14	
118		 TRUTH	14	
119		 YEARS	14	
120		 WHERE/WHEN	13	
121		 ONE	13	
122		 ON	13	
123		 IT-BECAUSE	13	
124		 -THOUGH	13	
125		 DAY	13	
126		 DOWN	13	
127		 BEFORE/AFTER	12	
128		 YEAR	12	
129		 THOUGHT	11	
130		 STATES	11	
131		 BE-FORE	11	
132		 -NOR	11	
133		 CITY	11	
134		 KNEW	11	
135		 FUTURE	11	
136		 OR/AND	11	
137		 LEVEL	11	
138		 MAN	10	
139		 JOB	10	
140		 ITSELF	10	
141		 COLOR	10	
142		 DAYS	10	
143		 CULTURE	10	
144		 EYES	10	
145		 -ALTHOUGH	10	
146		 STATE	10	
147		 SENSE	10	
148		 SCHOOL	10	
149		 THINK	10	
