
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 STUDENTS	299880	
2		 CHILDREN	295373	
3		 THINGS	293999	
4		 WOMEN	266695	
5		 MEN	199075	
6		 EYES	166692	
7		 OTHERS	143017	
8		 PARENTS	132037	
9		 KIDS	128407	
10		 PROBLEMS	119899	
11		 MEMBERS	119289	
12		 POLICE	118631	
13		 WORDS	116298	
14		 HANDS	112519	
15		 FRIENDS	107867	
16		 GROUPS	105589	
17		 FEET	104659	
18		 TEACHERS	101004	
19		 QUESTIONS	100661	
20		 ISSUES	97918	
21		 SCHOOLS	93818	
22		 STUDIES	93693	
23		 PROGRAMS	92963	
24		 RESULTS	92485	
25		 WAYS	90102	
26		 COMPANIES	88556	
27		 AMERICANS	87526	
28		 SERVICES	85865	
29		 OFFICIALS	84107	
30		 STATES	80607	
31		 RIGHTS	80527	
32		 AREAS	77834	
33		 LIVES	77170	
34		 CASES	76199	
35		 COUNTRIES	72280	
36		 WORKERS	70932	
37		 BOOKS	70150	
38		 CHANGES	69191	
39		 PATIENTS	68490	
40		 FAMILIES	68283	
41		 GUYS	66759	
42		 GAMES	65076	
43		 POINTS	64113	
44		 GIRLS	63973	
45		 SYSTEMS	63580	
46		 LEADERS	63242	
47		 LEVELS	63039	
48		 PLAYERS	62398	
49		 THANKS	62026	
50		 ARMS	61950	
51		 JOBS	61380	
52		 STORIES	61002	
53		 FORCES	59991	
54		 SKILLS	58668	
55		 ACTIVITIES	57381	
56		 RESOURCES	57019	
57		 BOYS	56745	
58		 NUMBERS	56550	
59		 NEEDS	55749	
60		 EFFECTS	55656	
61		 EVENTS	54610	
62		 PARTICIPANTS	53547	
63		 EFFORTS	52976	
64		 PLACES	52397	
65		 LINES	52017	
66		 PLANS	51761	
67		 CONDITIONS	51731	
68		 RATES	50375	
69		 REPUBLICANS	50022	
70		 COSTS	48834	
71		 DIFFERENCES	48640	
72		 INDIVIDUALS	48565	
73		 PARTS	48558	
74		 PRODUCTS	48523	
75		 DEMOCRATS	48401	
76		 RULES	47873	
77		 REPORTS	47741	
78		 SPORTS	47364	
79		 IDEAS	46609	
80		 TREES	46309	
81		 VALUES	46218	
82		 BENEFITS	45479	
83		 REASONS	45295	
84		 STANDARDS	45269	
85		 FACTORS	44695	
86		 STARS	43932	
87		 DRUGS	43789	
88		 CARS	43069	
89		 PRICES	43020	
90		 STEPS	42650	
91		 NATIONS	42108	
92		 PLANTS	42073	
93		 ARTS	42036	
94		 RESEARCHERS	41404	
95		 HOMES	41373	
96		 WEAPONS	40605	
