
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 NEW	247806	
2		 U.S.	207668	
3		 YORK	179562	
4		 JOHN	163477	
5		 STATES	163396	
6		 UNITED	161515	
7		 )	154678	
8		 WASHINGTON	140002	
9		 AMERICA	139150	
10		 GOD	108095	
11		 BUSH	106359	
12		 ;	97152	
13		 DAVID	93108	
14		 CLINTON	91624	
15		 CALIFORNIA	87299	
16		 SAN	85096	
17		 GEORGE	83204	
18		 IRAQ	78391	
19		 MICHAEL	73043	
20		 WHITE	72307	
21		 BILL	71470	
22		 TEXAS	69247	
23		 ROBERT	63115	
24		 CHINA	61376	
25		 PAUL	60670	
26		 JAMES	58937	
27		 OBAMA	58163	
28		 ST	57923	
29		 JUNE	54827	
30		 CHICAGO	54672	
31		 TOM	53624	
32		 BOB	53193	
33		 SMITH	52655	
34		 MAY	51807	
35		 EUROPE	51321	
36		 SUNDAY	50680	
37		 FLORIDA	50322	
38		 J	50171	
39		 JULY	49437	
40		 AL	49408	
41		 ATLANTA	48452	
42		 JACK	47333	
43		 JIM	47262	
44		 US	46734	
45		 ISRAEL	46602	
46		 RICHARD	46090	
47		 FRANCISCO	45574	
48		 APRIL	45065	
49		 GEORGIA	44237	
50		 JOHNSON	44131	
51		 THOMAS	44043	
52		 MARCH	43899	
53		 BROWN	43728	
54		 PETER	43601	
55		 MARY	43597	
56		 MARK	43583	
57		 FRIDAY	43115	
58		 MIKE	42589	
59		 LOS	41516	
60		 WILLIAM	41349	
61		 SATURDAY	41019	
62		 JOE	40843	
63		 MEXICO	40703	
64		 CHARLES	40519	
65		 AFRICA	40285	
66		 SAM	39699	
67		 ANGELES	39342	
68		 SEPTEMBER	38430	
69		 COLORADO	38404	
70		 SOUTH	38222	
71		 HOUSTON	37153	
72		 LARRY	36515	
73		 C	36479	
74		 JONES	35845	
75		 JANUARY	35713	
76		 LONDON	35530	
77		 LEE	35002	
78		 VIRGINIA	34846	
79		 JAPAN	34838	
80		 DENVER	34450	
81		 CHRIS	34337	
82		 MARTIN	34315	
83		 JACKSON	34249	
84		 WILLIAMS	33442	
85		 RUSSIA	33027	
86		 SCOTT	32995	
87		 NOVEMBER	32954	
88		 OCTOBER	32784	
89		 AUGUST	32448	
90		 MONDAY	31830	
91		 FRANK	31779	
92		 CAROLINA	31729	
93		 BOSTON	31704	
94		 STEVE	31632	
95		 IRAN	31551	
96		 CNN	31090	
97		 VOICE-OVER	30961	
98		 DECEMBER	30401	
99		 ENGLAND	30078	
100		 JESUS	29832	
101		 S	29720	
102		 HENRY	29675	
103		 VOICEOVER	29398	
104		 GERMANY	29243	
105		 ABC	29155	
106		 E	29079	
107		 CANADA	28881	
108		 FRANCE	28816	
