
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 --	568446	
2		 WAY	535295	
3		 WORLD	381508	
4		 LIFE	364957	
5		 MAN	343992	
6		 RIGHT	342787	
7		 SCHOOL	337163	
8		 STATE	319924	
9		 WORK	292257	
10		 HOUSE	290517	
11		 BACK	253634	
12		 FAMILY	253530	
13		 LOT	250589	
14		 THING	244737	
15		 CITY	231674	
16		 PART	226913	
17		 GOVERNMENT	225090	
18		 PLACE	224289	
19		 HOME	224032	
20		 PRESIDENT	221075	
21		 COUNTRY	216920	
22		 MONEY	212794	
23		 WATER	207525	
24		 GROUP	200731	
25		 WAR	198837	
26		 ROOM	198815	
27		 MOTHER	193691	
28		 PUBLIC	193529	
29		 SYSTEM	191581	
30		 NUMBER	190841	
31		 HEAD	187887	
32		 KIND	187238	
33		 POINT	185471	
34		 WOMAN	184244	
35		 FACT	183778	
36		 HEALTH	183577	
37		 CASE	182747	
38		 HAND	181237	
39		 END	177256	
40		 UNIVERSITY	170883	
41		 RESEARCH	170081	
42		 BUSINESS	169741	
43		 FATHER	169567	
44		 INFORMATION	167933	
45		 PROGRAM	165942	
46		 EDUCATION	164968	
47		 SIDE	164767	
48		 POWER	164347	
49		 COMPANY	163723	
50		 NEWS	162063	
51		 STORY	161380	
52		 STUDY	160817	
53		 TABLE	158547	
54		 QUESTION	156649	
55		 PROBLEM	155825	
56		 CENTER	152745	
57		 FACE	150080	
58		 JOB	148272	
59		 CHILD	147878	
60		 HISTORY	145555	
61		 COMMUNITY	145250	
62		 MUSIC	141965	
63		 TEAM	141293	
64		 BOOK	138285	
65		 LAW	137385	
66		 BODY	136921	
67		 AIR	135989	
68		 DOOR	135839	
69		 AREA	134111	
70		 PERSON	132680	
71		 USE	132174	
72		 OFFICE	131888	
73		 GAME	131027	
74		 NAME	130415	
75		 CARE	129986	
76		 CAR	128852	
77		 LINE	127873	
78		 FOOD	126777	
79		 PROCESS	124385	
80		 AGE	122723	
81		 COURT	122193	
82		 COLLEGE	121608	
83		 TOP	119867	
84		 MOMENT	119205	
85		 SENSE	118549	
86		 IDEA	117090	
87		 LOOK	116267	
88		 PARTY	116176	
89		 HUMAN	113054	
90		 CONTROL	111311	
91		 DEVELOPMENT	110982	
92		 FUTURE	110103	
93		 DEATH	108976	
94		 LEVEL	108947	
95		 SHOW	108905	
96		 ISSUE	108569	
97		 ART	108454	
98		 SERVICE	107477	
99		 LIGHT	106792	
100		 SECURITY	105307	
101		 POLICY	103984	
102		 STUDENT	103703	
103		 VOICE	101258	
104		 WIFE	100520	
105		 EXPERIENCE	100495	
106		 MARKET	100340	
107		 HEART	100015	
108		 SUPPORT	99793	
109		 DEPARTMENT	99241	
110		 CHURCH	99084	
111		 ROLE	97714	
112		 OIL	96815	
113		 LOVE	96263	
114		 WORD	93952	
115		 PAST	93300	
116		 REASON	93024	
117		 TOWN	92547	
118		 GUY	92463	
119		 DIRECTOR	92330	
120		 MIND	92184	
121		 HAIR	91723	
122		 CLASS	91396	
123		 CHANGE	91329	
124		 SPACE	90782	
125		 PLAN	90039	
126		 FIELD	89832	
127		 COLOR	89618	
128		 SON	89458	
129		 SOCIETY	89359	
130		 PHOTO	88857	
131		 EVIDENCE	87375	
132		 GIRL	87021	
133		 PHONE	86613	
134		 COUPLE	86432	
135		 BUILDING	86180	
136		 GROUND	85804	
137		 ATTENTION	85196	
138		 INTEREST	84273	
139		 BOY	83614	
140		 ENERGY	83606	
141		 FRIEND	82873	
142		 COUNTY	82364	
143		 GENERAL	81733	
144		 PARK	80762	
145		 SCIENCE	80512	
146		 NATION	80061	
147		 VIEW	79943	
148		 TECHNOLOGY	79791	
149		 REPORT	79709	
150		 CONGRESS	79224	
151		 MODEL	78926	
152		 RELATIONSHIP	77835	
153		 BILL	77693	
154		 ADMINISTRATION	77536	
155		 FORCE	77465	
156		 STREET	76909	
157		 TEACHER	76769	
158		 CAMPAIGN	76484	
159		 LAND	76455	
160		 INDUSTRY	76246	
161		 ROAD	75435	
162		 POSITION	75286	
163		 PRACTICE	75187	
164		 ACTION	74961	
165		 EFFECT	74486	
166		 BLOOD	74279	
167		 TAX	74082	
168		 PAPER	73924	
169		 REST	73813	
170		 DEFENSE	73496	
171		 ECONOMY	73346	
172		 SITUATION	73169	
173		 FIGURE	72996	
174		 FLOOR	72917	
175		 LANGUAGE	72909	
176		 HUSBAND	72617	
177		 NATURE	72585	
178		 PERFORMANCE	72363	
179		 PRESS	71918	
180		 LEARNING	71380	
181		 PROJECT	71295	
182		 DECISION	71266	
183		 BABY	71174	
184		 LIVING	71169	
185		 CULTURE	71038	
186		 MATTER	70796	
187		 RISK	70165	
188		 TRAINING	69981	
189		 FORM	69930	
190		 FIRE	69530	
191		 FRONT	69285	
192		 PERIOD	69135	
193		 KING	68693	
194		 BED	68671	
195		 POPULATION	68371	
196		 KNOWLEDGE	68072	
197		 RATE	67649	
198		 OTHER	67554	
199		 CALL	66972	
200		 TEST	66797	
201		 CHANCE	66683	
202		 FILM	66616	
