
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 HIS	2355511	
2		 THEIR	1417167	
3		 HER	1311889	
4		 MY	1239545	
5		 YOUR	883607	
6		 OUR	702293	
7		 ITS	112706	
8		 THY	1961	
9		 HIS/HER	1492	
10		 YER	738	
11		 	235	
12		 MINE	223	
13		 THINE	203	
14		 POST-ITS	149	
15		 HER/HIS	127	
16		 HIS-AND-HER	51	
17		 -MY	30	
18		 -YOUR	28	
19		 -HER	24	
20		 ME-MY	24	
21		 -OUR	20	
22		 CHEEZ-ITS	20	
23		 HER-HER	16	
24		 HIM	16	
25		 -THEIR	14	
26		 YOU-YOUR	14	
27		 -ITS	10	
28		 IT-MY	10	
29		 FAMILY-HER	9	
30		 FAMILY-MY	9	
31		 IT-YOUR	8	
32		 HER-MY	8	
33		 WOMAN-HER	8	
34		 US-MY	8	
35		 ME-HER	8	
36		 MOTHER-HER	7	
37		 MY/OUR	7	
38		 THEM-THEIR	7	
39		 WAS-MY	6	
40		 WAY-MY	6	
41		 M-M-MY	6	
42		 HIM-MY	6	
43		 HIS/THEIR	6	
44		 IT-HER	6	
45		 IT-THEIR	5	
46		 HIS-HER	5	
47		 HOUSE-MY	5	
48		 HERE-YOUR	5	
49		 HERSELF-HER	5	
50		 LIFE-MY	5	
51		 US-OUR	5	
52		 TOO-MY	5	
53		 SHAKE-A-MY	5	
54		 YOUR-YOUR	5	
55		 SEE-MY	4	
56		 STICK-TO-YOUR	4	
57		 TO-MY	4	
58		 THIS-HER	4	
59		 US-THEIR	4	
60		 UP-HER	4	
61		 WE-MY	4	
62		 WOMAN-MY	4	
63		 WORLD-ITS	4	
64		 YOU-MY	4	
65		 YEAR-HER	4	
66		 YEARS-HER	4	
67		 LIVES-OUR	4	
68		 LIVES-THEIR	4	
69		 M-MY	4	
70		 M'	4	
71		 MYSELF-MY	4	
72		 MY-MY	4	
73		 NOW-MY	4	
74		 NOW-OUR	4	
75		 OF-HER	4	
76		 NONLAW-YER	4	
77		 PEOPLE-MY	4	
78		 PEOPLE-THEIR	4	
79		 HIM-HER	4	
80		 HERE-MY	4	
81		 HER-THEIR	4	
82		 FATHER-MY	4	
83		 HOUSE-HER	4	
84		 IT-OUR	4	
85		 IS-MY	4	
86		 IS-OUR	4	
87		 IN-MY	4	
88		 AGAIN-HER	4	
89		 ARE-MY	4	
90		 DO-MY	4	
91		 CHILDREN-OUR	3	
92		 CHILDREN-THEIR	3	
93		 ABOUT-MY	3	
94		 ABOUT-THEIR	3	
95		 ABOUT-YOUR	3	
96		 BE-MY	3	
97		 BEHIND-MY	3	
98		 BODY-HER	3	
99		 BODY-MY	3	
100		 IMPORTANT-YOUR	3	
101		 ITSELF-ITS	3	
102		 HOT-MY	3	
103		 HISAND-HER	3	
104		 HOUSE-THEIR	3	
105		 HAND-HER	3	
106		 HEAD-MY	3	
