
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 OF	13452315	
2		 IN	9173770	
3		 TO	5073906	
4		 FOR	4370856	
5		 WITH	3574728	
6		 ON	3307923	
7		 AT	2348031	
8		 FROM	2163332	
9		 BY	1924113	
10		 ABOUT	1172438	
11		 AS	1087450	
12		 INTO	877164	
13		 LIKE	766032	
14		 THROUGH	456863	
15		 AFTER	417805	
16		 OVER	397497	
17		 BETWEEN	345663	
18		 OUT	314925	
19		 AGAINST	263597	
20		 DURING	253569	
21		 BEFORE	229649	
22		 WITHOUT	223507	
23		 UNDER	210812	
24		 AROUND	190807	
25		 AMONG	183568	
26		 SUCH	158774	
27		 ACROSS	148049	
28		 WITHIN	147996	
29		 INCLUDING	143832	
30		 OFF	137272	
31		 TOWARD	137040	
32		 BEHIND	126134	
33		 ACCORDING	113088	
34		 ALONG	112326	
35		 UP	111652	
36		 BECAUSE	99441	
37		 PER	80764	
38		 WELL	80075	
39		 THAN	71970	
40		 NEAR	71603	
41		 UPON	71569	
42		 AWAY	68241	
43		 DESPITE	68009	
44		 BEYOND	66985	
45		 OUTSIDE	62303	
46		 SINCE	60982	
47		 ONTO	57594	
48		 ABOVE	57532	
49		 INSIDE	54978	
50		 RATHER	53490	
51		 THROUGHOUT	52026	
52		 DOWN	51552	
53		 FRONT	49234	
54		 INSTEAD	48128	
55		 TERMS	40508	
56		 PAST	37007	
57		 WORTH	36285	
58		 UNTIL	35282	
59		 NEXT	34408	
60		 DUE	29397	
61		 BUT	27422	
62		 PLUS	26523	
63		 BESIDE	25790	
64		 BENEATH	25674	
65		 EXCEPT	25029	
66		 VS	24224	
67		 BELOW	24085	
68		 REGARDING	23941	
69		 ADDITION	23453	
70		 TOWARDS	23442	
71		 VIA	20119	
72		 OTHER	18481	
73		 UNLIKE	17060	
74		 AHEAD	16177	
75		 V	16161	
76		 PRIOR	15589	
77		 TOP	15292	
78		 VERSUS	14491	
79		 DEPENDING	14092	
80		 CONCERNING	11135	
81		 FAVOR	10509	
82		 RESPONSE	10318	
83		 AMID	10167	
84		 SUBJECT	9956	
85		 ALONGSIDE	8995	
86		 OPPOSED	8525	
87		 RESPECT	8414	
88		 REGARD	8355	
89		 THE	8157	
90		 RE	8117	
91		 BESIDES	7865	
92		 ATOP	7783	
93		 SPITE	7700	
94		 CHARGE	7517	
95		 BEHALF	7366	
96		 LIGHT	6882	
97		 APART	6607	
98		 PART	6572	
99		 RELATION	6368	
100		 TILL	6258	
101		 RELATIVE	6077	
102		 VICE	6024	
103		 ABOARD	5994	
104		 SEARCH	5682	
105		 UNDERNEATH	5175	
106		 CONTRARY	4995	
107		 TOUCH	4866	
108		 ASIDE	4665	
109		 ROUND	4467	
110		 CONSIDERING	4455	
111		 THANKS	3823	
112		 X	3579	
113		 NEED	3536	
114		 SUPPORT	3456	
115		 LINE	3258	
116		 CONJUNCTION	3165	
117		 SAVE	3144	
118		 AMONGST	3098	
119		 ALONE	2988	
120		 LET	2988	
121		 ACCORDANCE	2961	
122		 WAY	2924	
123		 FOLLOWING	2707	
124		 PRO	2651	
125		 MINUS	2611	
126		 A	2605	
127		 AGED	2555	
128		 MEANS	2531	
129		 POST	2505	
130		 CONNECTION	2413	
131		 ADJACENT	2273	
132		 RETURN	2264	
133		 OPPOSITE	2211	
134		 LA	2118	
135		 KEEPING	2031	
136		 VIEW	1982	
137		 PLACE	1975	
138		 CONTACT	1969	
139		 UNTO	1927	
140		 AMIDST	1889	
141		 PERTAINING	1748	
142		 FEAR	1684	
143		 COMMON	1587	
144		 TIMES	1482	
145		 OWING	1471	
146		 CASE	1458	
147		 EXCESS	1441	
148		 PRE	1426	
149		 PURSUIT	1338	
150		 PENDING	1317	
151		 NOTWITHSTANDING	1266	
152		 EX	1232	
153		 ACCOUNT	1172	
154		 COMPARISON	1040	
155		 LIEU	1040	
156		 LESS	989	
157		 IRRESPECTIVE	989	
