
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 I	5362818	
2		 IT	5123568	
3		 YOU	4115510	
4		 HE	3825631	
5		 THEY	2447344	
6		 WE	2405274	
7		 SHE	2002518	
8		 WHO	1339918	
9		 ME	939302	
10		 HIM	887349	
11		 THEM	886994	
12		 HER	533289	
13		 ONE	480256	
14		 US	461878	
15		 SOMETHING	341988	
16		 NOTHING	164063	
17		 ANYTHING	157116	
18		 HIMSELF	139902	
19		 EVERYTHING	138900	
20		 SOMEONE	128965	
21		 THEMSELVES	107339	
22		 EVERYONE	101300	
23		 ITSELF	89088	
24		 MYSELF	78823	
25		 ANYONE	77494	
26		 OTHER	70726	
27		 HERSELF	70456	
28		 EACH	69770	
29		 EVERYBODY	68188	
30		 SOMEBODY	55640	
31		 NO	55222	
32		 YOURSELF	54870	
33		 WHOM	48573	
34		 NONE	46206	
35		 NOBODY	44563	
36		 ANYBODY	36843	
37		 LOTS	30904	
38		 HIS	25695	
39		 OURSELVES	25268	
40		 PLENTY	23841	
41		 MINE	20865	
42		 ANOTHER	18603	
43		 YOURS	13167	
44		 HERS	10405	
45		 WHOEVER	8353	
46		 OURS	8252	
47		 THEIRS	5331	
48		 YA	4307	
49		 YE	3653	
50		 ONESELF	3063	
51		 EM	2898	
52		 THOU	2625	
53		 YOURSELVES	2011	
54		 THEE	1863	
55		 T	1337	
56		 	1199	
57		 SOMETHIN	1013	
58		 MATTER	945	
59		 	917	
60		 Y'ALL	859	
61		 WHOMEVER	856	
62		 HE/SHE	843	
63		 YOU-ALL	597	
64		 NIL	542	
65		 NAUGHT	502	
66		 S/HE	380	
67		 SOME	309	
68		 HISSELF	221	
69		 HIM/HER	211	
70		 THYSELF	193	
71		 NO-ONE	166	
72		 NUTHIN	166	
73		 OURSELF	158	
74		 YER	152	
75		 POST-IT	140	
76		 20-SOMETHING	137	
77		 SOME-THING	128	
78		 YOUS	127	
79		 THEMSELF	106	
80		 SHE/HE	92	
81		 THAT	92	
82		 AUGHT	92	
83		 TIME	88	
84		 YOU-KNOW-WHO	86	
85		 WHOSOEVER	84	
86		 MINI-ME	83	
87		 GOOD-FOR-YOU	83	
88		 30-SOMETHING	79	
89		 NOUGHT	72	
90		 MESELF	71	
91		 THERE	71	
92		 THINE	71	
93		 EVERY-THING	70	
94		 WHAT-HAVE-YOU	69	
95		 NOW	67	
96		 OUT	65	
97		 ALL	64	
98		 BREAK-FOR-LOCAL-WE	61	
99		 SHOW-ME	61	
100		 ANY-THING	58	
101		 YOUSE	56	
102		 TWENTY-SOMETHING	56	
103		 YERSELF	55	
104		 I-THOU	54	
105		 DO	51	
106		 THIS	51	
107		 TOO	49	
108		 40-SOMETHING	48	
109		 AWAY	48	
110		 EVER'BODY	47	
111		 THEIRSELVES	46	
112		 UP	46	
113		 WITH	45	
114		 ONE-UP	44	
115		 WAY	43	
116		 SOME-ONE	39	
117		 FIX-IT	39	
118		 FIFTY-SOMETHING	38	
119		 GODSELF	37	
120		 EVERY-ONE	37	
121		 HIMSELF/HERSELF	37	
122		 HOLIER-THAN-THOU	37	
123		 HER/HIM	37	
124		 DAY	36	
125		 KNOW	35	
126		 THIRTY-SOMETHING	35	
127		 RIGHT	34	
128		 THEM-SELVES	33	
129		 YEARS	33	
130		 WELL	32	
131		 FUCK	32	
132		 FATHER	30	
133		 HIM-SELF	30	
134		 50-SOMETHING	30	
135		 THING	29	
136		 TO	28	
137		 YEAR	28	
138		 HERE	28	
139		 IS	28	
140		 HERSEN	27	
141		 AND	27	
142		 AGAIN	27	
143		 SIXTY-SOMETHING	27	
144		 PEOPLE	27	
145		 MAN	27	
146		 LOOK	27	
147		 LIFE	26	
148		 SHOVE	26	
149		 WHO'S	26	
150		 70-SOMETHING	26	
151		 DO-EVERYTHING	26	
152		 COURSE	26	
153		 HER-SELF	26	
154		 HOUSE	25	
155		 DOWN	25	
156		 YOUR-SELF	25	
157		 THEN	25	
158		 US-VERSUS-THEM	24	
159		 IN	24	
160		 DID	23	
161		 WAS	23	
162		 THOUGH	23	
163		 SOMETHING-SOMETHING	23	
164		 THEIRSELF	22	
165		 TAKE-IT-OR-LEAVE-IT	22	
166		 WHAT-ALL	22	
167		 WORK	22	
168		 ON	22	
169		 80-SOMETHING	22	
170		 GOOD	22	
171		 HEAD	21	
172		 ANY-ONE	21	
173		 BE	21	
174		 MEN	21	
175		 PLACE	21	
176		 WHOMSOEVER	21	
177		 WOMEN	20	
178		 YA/YA	20	
179		 SOME-BODY	20	
180		 NO-BODY	20	
181		 MOTHER	20	
182		 MY-SELF	20	
183		 BOY	20	
184		 60-SOMETHING	20	
185		 -SOMETHING	20	
186		 HIS-AND-HERS	20	
187		 HOME	19	
188		 MORE	19	
189		 M'SELF	19	
190		 SAID	19	
191		 ROOM	19	
192		 THING-IN-ITSELF	19	
193		 Y	19	
194		 YET	19	
195		 WOE-IS-ME	18	
196		 SHEE	18	
197		 NOWT	18	
198		 NONSELF	18	
199		 JOB	18	
200		 GET-TO-KNOW-YOU	18	
201		 90-SOMETHING	18	
202		 ALL-OR-NONE	18	
203		 ALL-EVERYTHING	17	
204		 ANYMORE	17	
205		 -EVERYTHING	17	
206		 BACK	17	
207		 BUILD-IT-YOURSELF	17	
208		 CAR	17	
209		 CHILDREN	17	
210		 FORTY-SOMETHING	17	
211		 EVERY-BODY	17	
212		 NOTH-ING	17	
213		 OFF	17	
214		 LOOK-AT-ME	17	
215		 MIND	17	
216		 MONEY	17	
217		 STORY	17	
218		 WATER	17	
219		 WORLD	16	
220		 SON	16	
221		 NIGHT	16	
222		 SAID-SHE	16	
223		 REMEMBER	16	
224		 PROBLEM	16	
225		 FRIENDS	16	
226		 KIDS	16	
227		 HOW-TO-DO-IT	16	
228		 GUY	16	
229		 DALE-SOMETHING	16	
230		 AROUND	16	
231		 BED	16	
232		 BETTER-FOR-YOU	16	
233		 BEFORE	15	
234		 HAVE	15	
235		 KO-E-YA	15	
236		 LATER	15	
237		 EYES	15	
238		 REASON	15	
239		 YA-YA	15	
240		 WEEK	15	
241		 TRUE	15	
242		 US-THEM	14	
243		 USE-IT-OR-LOSE-IT	14	
244		 WOMAN	14	
245		 SEE	14	
246		 SUMMAT	14	
247		 OVER	14	
248		 FACE	14	
249		 FAMILY	14	
250		 FRIEND	14	
251		 IMSELF	14	
252		 HAND	14	
253		 FOR	13	
254		 GO-FOR-IT	13	
255		 F	13	
256		 DON'T-MESS-WITH-ME	13	
257		 BROTHER	13	
258		 BETTER	13	
259		 NOTICE-ME	13	
260		 OUR-SELVES	13	
261		 MEAN	13	
262		 LIKE	13	
263		 TOGETHER	13	
264		 SEVENTY-SOMETHING	13	
265		 SIDE	13	
266		 SOMETHING-FOR-EVERYONE	13	
267		 WRONG	13	
268		 WHAT	12	
269		 WANT	12	
270		 UP-FOR-ANYTHING	12	
271		 MMSELF	12	
272		 OF	12	
273		 NAME	12	
274		 PART	12	
275		 SAY	12	
276		 SCHOOL	12	
277		 BUT	12	
278		 DO-ANYTHING	12	
279		 DO-ITYOURSELF	12	
280		 -EVERYONE	12	
281		 ELSE	12	
282		 FUCK-ME	12	
283		 GIRLS	11	
284		 DOES	11	
285		 EXAMPLE	11	
286		 HEART	11	
287		 A-ONE	11	
288		 ARE	11	
289		 DIFFERENT	11	
290		 DAYS	11	
291		 CASE	11	
292		 PARENTS	11	
293		 OWNSELF	11	
294		 MUCH	11	
295		 NOT	11	
296		 OUTSELF	11	
297		 MISTAKE	11	
298		 ME-ME-ME	11	
299		 LOVE	11	
300		 WIFE	11	
301		 YOU-NAME-IT	11	
302		 SO	11	
303		 STICK-WITH-IT	11	
304		 TABLE	11	
305		 SYSTEM	10	
306		 SHOW	10	
307		 YES	10	
308		 WILL	10	
309		 Y'SELF	10	
310		 WORD	10	
311		 VOICE	10	
312		 MAKE	10	
313		 MORNING	10	
314		 BAD	10	
315		 BEING-IN-ITSELF	10	
316		 ANTI-EVERYTHING	10	
317		 HANDS	10	
318		 HAIR	10	
319		 HIPPER-THAN-THOU	10	
320		 IF	10	
321		 EASY	10	
322		 EASY-DOES-IT	10	
323		 GAME	10	
324		 FIRST	9	
325		 EIGHTY-SOMETHING	9	
326		 DOOR	9	
327		 IT-SELF	9	
328		 IT-SOMETHING	9	
329		 LAUGH	9	
330		 JUST	9	
331		 HEY	9	
