
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 ONE	461629	
2		 SOMETHING	341974	
3		 NOTHING	164058	
4		 ANYTHING	157102	
5		 EVERYTHING	138894	
6		 SOMEONE	128961	
7		 EVERYONE	101297	
8		 ANYONE	77492	
9		 EVERYBODY	68187	
10		 SOMEBODY	55637	
11		 NO	54386	
12		 NOBODY	44562	
13		 ANYBODY	36842	
14		 SOMETHIN	1013	
15		 NIL	541	
16		 NAUGHT	502	
17		 SOME	307	
18		 NUTHIN	166	
19		 NO-ONE	166	
20		 20-SOMETHING	137	
21		 	136	
22		 SOME-THING	128	
23		 AUGHT	92	
24		 30-SOMETHING	79	
25		 NOUGHT	72	
26		 EVERY-THING	70	
27		 ANY-THING	58	
28		 TWENTY-SOMETHING	56	
29		 40-SOMETHING	48	
30		 EVER'BODY	47	
31		 ONE-UP	44	
32		 SOME-ONE	39	
33		 FIFTY-SOMETHING	38	
34		 EVERY-ONE	37	
35		 THIRTY-SOMETHING	35	
36		 50-SOMETHING	30	
37		 SIXTY-SOMETHING	27	
38		 70-SOMETHING	26	
39		 DO-EVERYTHING	26	
40		 SOMETHING-SOMETHING	23	
41		 80-SOMETHING	22	
42		 ANY-ONE	21	
43		 60-SOMETHING	20	
44		 -SOMETHING	20	
45		 SOME-BODY	20	
46		 NO-BODY	20	
47		 NOWT	18	
48		 90-SOMETHING	18	
49		 ALL-EVERYTHING	17	
50		 -EVERYTHING	17	
51		 EVERY-BODY	17	
52		 NOTH-ING	17	
53		 FORTY-SOMETHING	17	
54		 DALE-SOMETHING	16	
55		 SUMMAT	14	
56		 SOMETHING-FOR-EVERYONE	13	
57		 SEVENTY-SOMETHING	13	
58		 DO-ANYTHING	12	
59		 -EVERYONE	12	
60		 UP-FOR-ANYTHING	12	
61		 A-ONE	11	
62		 ANTI-EVERYTHING	10	
63		 -SOMEONE	9	
64		 EIGHTY-SOMETHING	9	
65		 IT-SOMETHING	9	
66		 ONE-OUT	8	
67		 NINETY-SOMETHING	8	
68		 ELSE-SOMETHING	8	
69		 -EVERYBODY	8	
70		 ANY-BODY	7	
71		 NUFFINK	7	
72		 NO-THING	7	
73		 HER-SOMETHING	6	
74		 SOMETHING-ANYTHING	6	
75		 SIX-FOOT-SOMETHING	6	
76		 READY-FOR-ANYTHING	6	
77		 DO-SOMETHING	6	
78		 -ANYTHING	6	
79		 -NOBODY	6	
80		 100-SOMETHING	5	
81		 ANTI-ANYTHING	5	
82		 WINNING-IS-EVERYTHING	5	
83		 TRY-ANYTHING	5	
84		 THEM-SOMETHING	5	
85		 TO-SOMETHING	4	
86		 WORK-SOMETHING	4	
87		 Y-SOMETHING	4	
88		 120-SOMETHING	4	
89		 150-SOMETHING	4	
90		 EL-NIL	4	
91		 BUSINESS-EVERYTHING	4	
92		 SOME-THIN	4	
93		 SOMEONE-SOMEONE	4	
94		 OWT	4	
95		 PERSON-SOMEONE	4	
96		 FOOD-EVERYTHING	4	
97		 MORE-SOMETHING	4	
98		 NO.	3	
99		 MONEY-SOMETHING	3	
100		 IT-EVERYONE	3	
101		 LIFE-SOMEONE	3	
102		 ME-SOMEONE	3	
103		 ME-SOMETHING	3	
104		 HER-SOMEONE	3	
105		 HERE-NOBODY	3	
