
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 I	5362816	
2		 IT	5123561	
3		 YOU	4115504	
4		 HE	3825631	
5		 THEY	2447344	
6		 WE	2405274	
7		 SHE	2002518	
8		 ME	939295	
9		 HIM	887344	
10		 THEM	886412	
11		 HER	533283	
12		 US	461876	
13		 HIMSELF	139897	
14		 THEMSELVES	107337	
15		 ITSELF	89088	
16		 MYSELF	78820	
17		 HERSELF	70454	
18		 OTHER	69787	
19		 EACH	69770	
20		 YOURSELF	54870	
21		 HIS	25695	
22		 OURSELVES	25265	
23		 MINE	20865	
24		 ONE	18625	
25		 ANOTHER	18603	
26		 YOURS	13167	
27		 HERS	10404	
28		 OURS	8252	
29		 THEIRS	5330	
30		 YA	4307	
31		 YE	3653	
32		 EM	2898	
33		 THOU	2625	
34		 YOURSELVES	2011	
35		 THEE	1863	
36		 T	1337	
37		 	965	
38		 HE/SHE	843	
39		 	816	
40		 YOU-ALL	597	
41		 S/HE	380	
42		 HISSELF	221	
43		 HIM/HER	211	
44		 THYSELF	193	
45		 OURSELF	158	
46		 YER	152	
47		 POST-IT	140	
48		 YOUS	127	
49		 THEMSELF	106	
50		 SHE/HE	92	
51		 THAT	89	
52		 TIME	86	
53		 MINI-ME	83	
54		 GOOD-FOR-YOU	83	
55		 MESELF	71	
56		 THINE	71	
57		 THERE	70	
58		 WHAT-HAVE-YOU	69	
59		 OUT	64	
60		 NOW	64	
61		 ALL	62	
62		 BREAK-FOR-LOCAL-WE	61	
63		 SHOW-ME	61	
64		 YOUSE	56	
65		 YERSELF	55	
66		 I-THOU	54	
67		 DO	50	
68		 THIS	50	
69		 TOO	48	
70		 AWAY	47	
71		 THEIRSELVES	46	
72		 UP	46	
73		 WITH	43	
74		 WAY	42	
75		 FIX-IT	39	
76		 GODSELF	37	
77		 HOLIER-THAN-THOU	37	
78		 HER/HIM	37	
79		 HIMSELF/HERSELF	37	
80		 DAY	33	
81		 THEM-SELVES	33	
82		 RIGHT	33	
83		 FUCK	32	
84		 HIM-SELF	30	
85		 WELL	30	
86		 YEARS	30	
87		 KNOW	29	
88		 IS	28	
89		 THING	28	
90		 YEAR	27	
91		 HERE	27	
92		 HERSEN	27	
93		 LOOK	27	
94		 LIFE	26	
95		 NO	26	
96		 HER-SELF	26	
97		 TO	26	
98		 SHOVE	26	
99		 THEN	25	
100		 YOUR-SELF	25	
101		 AGAIN	25	
102		 COURSE	24	
103		 HOUSE	24	
104		 US-VERSUS-THEM	24	
105		 THOUGH	23	
