
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 IS	4792505	
2		 'S	2501199	
3		 HAS	1354186	
4		 SAYS	643141	
5		 DOES	420388	
6		 MAKES	126319	
7		 COMES	108745	
8		 SEEMS	99517	
9		 LOOKS	88280	
10		 GOES	83966	
11		 TAKES	82323	
12		 WANTS	73961	
13		 GETS	72877	
14		 MEANS	68058	
15		 KNOWS	64678	
16		 NEEDS	56617	
17		 WORKS	47815	
18		 SHOWS	47309	
19		 GIVES	44615	
20		 TURNS	43345	
21		 HAPPENS	42998	
22		 INCLUDES	41071	
23		 CONTINUES	40614	
24		 REMAINS	40497	
25		 APPEARS	39070	
26		 PROVIDES	38504	
27		 BECOMES	36870	
28		 CALLS	36156	
29		 SUGGESTS	35043	
30		 THINKS	33207	
31		 TELLS	32809	
32		 BEGINS	32627	
33		 SEES	31937	
34		 STARTS	31637	
35		 FEELS	30956	
36		 RUNS	30857	
37		 REQUIRES	29924	
38		 OFFERS	28110	
39		 ALLOWS	27015	
40		 BELIEVES	26291	
41		 USES	25799	
42		 HOLDS	25144	
43		 EXPLAINS	24907	
44		 STANDS	24675	
45		 PUTS	24311	
46		 KEEPS	24211	
47		 ADDS	23965	
48		 HELPS	23636	
49		 SOUNDS	23592	
50		 ASKS	22555	
51		 POINTS	21873	
52		 PLAYS	21807	
53		 LIVES	21259	
54		 LEADS	21048	
55		 BRINGS	21022	
56		 SITS	20825	
57		 FINDS	20586	
58		 OPENS	19485	
59		 LEAVES	19313	
60		 WRITES	19134	
61		 REPRESENTS	18967	
62		 SERVES	18402	
63		 REPORTS	18230	
64		 MOVES	18181	
65		 FOLLOWS	17682	
66		 LIES	16836	
67		 DEPENDS	16282	
68		 PLANS	15931	
69		 WALKS	15843	
70		 CONTAINS	15842	
71		 LIKES	15693	
72		 TRIES	15572	
73		 DESCRIBES	15397	
74		 PULLS	15319	
75		 RECALLS	15089	
76		 NOTES	15060	
77		 INVOLVES	14814	
78		 STOPS	14776	
79		 LOVES	14431	
80		 EXISTS	14390	
81		 COSTS	14294	
82		 SPEAKS	14196	
83		 CLAIMS	13808	
84		 INDICATES	13569	
85		 OCCURS	12829	
86		 CREATES	12533	
87		 FALLS	12493	
88		 JOINS	12467	
89		 SETS	12328	
90		 RAISES	11975	
91		 REACHES	11871	
92		 STATES	11767	
93		 CUPS	11738	
94		 ARGUES	11607	
95		 REFLECTS	11591	
96		 PRESENTS	11372	
97		 REMEMBERS	11245	
98		 HOPES	11098	
99		 CARRIES	10964	
100		 PICKS	10742	
101		 SUPPORTS	10734	
102		 INCREASES	10434	
103		 ENDS	10334	
104		 OWNS	10129	
