
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 KNOW	539652	
2		 THINK	465883	
3		 WANT	270341	
4		 SAY	223994	
5		 SEE	216178	
6		 GET	202846	
7		 GO	165999	
8		 NEED	159984	
9		 MEAN	151844	
10		 LOOK	138463	
11		 COME	126652	
12		 MAKE	121778	
13		 TAKE	119838	
14		 LET	117841	
15		 THANK	106939	
16		 FEEL	87576	
17		 BELIEVE	87572	
18		 LIKE	85760	
19		 TELL	68961	
20		 USE	68317	
21		 LOVE	66559	
22		 PUT	62545	
23		 CALL	62069	
24		 GIVE	61375	
25		 FIND	60165	
26		 REMEMBER	56408	
27		 TRY	56083	
28		 WORK	54395	
29		 KEEP	54258	
30		 LIVE	52478	
31		 INCLUDE	47230	
32		 HOPE	46898	
33		 GUESS	46392	
34		 SHOW	45839	
35		 ASK	43031	
36		 ADD	42504	
37		 SEEM	38369	
38		 START	37302	
39		 BECOME	36638	
40		 TALK	36506	
41		 CUT	36161	
42		 UNDERSTAND	35143	
43		 BEGIN	33827	
44		 HEAR	32870	
45		 SET	31921	
46		 OPEN	31226	
47		 PROVIDE	31104	
48		 READ	30781	
49		 TURN	30775	
50		 WAIT	30316	
51		 BRING	29300	
52		 HELP	28335	
53		 PLAY	28303	
54		 STAY	27642	
55		 LEAVE	27543	
56		 HOLD	27098	
57		 CONTINUE	26892	
58		 AGREE	26602	
59		 STATE	26532	
60		 CONSIDER	26469	
61		 TEND	25945	
62		 WATCH	25923	
63		 LISTEN	25546	
64		 WISH	24688	
65		 SUGGEST	23861	
66		 MOVE	23602	
67		 END	23534	
68		 WELCOME	22759	
69		 STOP	22656	
70		 PLACE	22571	
71		 SIT	22251	
72		 SUPPORT	22150	
73		 RUN	21973	
74		 OFFER	21477	
75		 REMAIN	21447	
76		 STAND	21434	
77		 PAY	21422	
78		 LEARN	21100	
79		 APPEAR	20437	
80		 MEET	20054	
81		 SERVE	19682	
82		 BUY	19199	
83		 EAT	18889	
84		 WALK	18879	
85		 EXPECT	18304	
86		 WRITE	18228	
87		 FACE	17699	
88		 FOLLOW	17380	
89		 CHECK	17204	
90		 ALLOW	16898	
91		 DIE	16767	
92		 SPEND	16698	
93		 WONDER	16667	
94		 CLOSE	16644	
95		 PHOTOGRAPH	16437	
96		 REQUIRE	16248	
97		 CHANGE	16232	
98		 SEND	15733	
99		 SHARE	15013	
100		 CREATE	14985	
101		 SPEAK	14941	
102		 PICK	14847	
103		 CHOOSE	14735	
104		 COVER	14642	
105		 SUPPOSE	14608	
106		 FALL	14340	
107		 GROW	14038	
108		 IMAGINE	14022	
109		 LOSE	13985	
110		 VISIT	13888	
111		 HATE	13787	
112		 ENJOY	13765	
113		 INDICATE	13348	
114		 REMOVE	13324	
115		 FORGET	13287	
116		 NOTE	12998	
117		 REALIZE	12972	
118		 STIR	12930	
119		 REPRESENT	12756	
120		 HAPPEN	12753	
121		 DRIVE	12734	
122		 RETURN	12502	
123		 CARRY	12471	
124		 COACH	12347	
125		 PULL	12346	
126		 FOCUS	12219	
127		 PLAN	12164	
128		 LEAD	12089	
129		 APPRECIATE	12072	
130		 COOK	12046	
131		 COST	11737	
132		 PASS	11497	
133		 RECEIVE	11338	
134		 WIN	11293	
135		 SELL	10916	
136		 CARE	10869	
137		 	10798	
138		 CAN	10709	
139		 EXIST	10675	
140		 FEAR	10517	
141		 ARGUE	10471	
142		 WEAR	10424	
143		 ENTER	10353	
144		 REACH	10340	
145		 FORM	10334	
146		 PRODUCE	10255	
147		 SEEK	10166	
148		 LIE	10061	
149		 DEVELOP	9802	
150		 BUILD	9754	
151		 MISS	9743	
152		 BEAT	9647	
153		 JUDGE	9601	
154		 COMBINE	9593	
155		 FIT	9566	
156		 ACT	9496	
157		 SAVE	9447	
158		 REDUCE	9442	
159		 DECIDE	9440	
160		 PREFER	9378	
161		 RAISE	9288	
162		 KILL	9283	
163		 DESCRIBE	9166	
164		 HOST	9100	
165		 REFLECT	9094	
166		 POINT	9063	
167		 TEACH	8945	
168		 EXPERIENCE	8940	
169		 CONTACT	8858	
170		 HANG	8758	
171		 WORRY	8718	
172		 BAKE	8679	
173		 JOIN	8674	
174		 TRUST	8608	
175		 CLAIM	8585	
176		 RECOGNIZE	8544	
177		 TRAVEL	8478	
178		 ASSUME	8475	
179		 APPLY	8399	
180		 BREAK	8307	
181		 PUSH	8295	
182		 CAUSE	8274	
183		 SHUT	8257	
184		 FAIL	8224	
185		 DROP	8217	
186		 INCREASE	8163	
187		 POUR	8077	
188		 OCCUR	8058	
189		 EXCUSE	8054	
190		 CONTROL	8048	
191		 SUSPECT	8005	
192		 SPREAD	7996	
193		 BET	7985	
194		 CONTAIN	7969	
195		 TEST	7881	
196		 ROLL	7839	
197		 THROW	7831	
198		 FILL	7696	
199		 DISAGREE	7681	
200		 PRESS	7663	
201		 DEAL	7624	
202		 STEP	7572	
203		 REPEAT	7544	
204		 REPORT	7513	
205		 EXPLAIN	7508	
206		 AVOID	7476	
207		 MARKET	7373	
208		 DRAW	7324	
209		 FIGURE	7300	
210		 MIND	7112	
211		 AFFECT	7101	
212		 PROMISE	7022	
213		 DRINK	6880	
214		 MIX	6820	
215		 NOTICE	6796	
216		 PREPARE	6755	
217		 DESERVE	6699	
218		 ACCEPT	6678	
219		 QUOTE	6668	
220		 CATCH	6607	
221		 DOUBT	6588	
222		 SLEEP	6576	
223		 OWN	6507	
224		 ENCOURAGE	6474	
225		 SHOOT	6392	
226		 SING	6380	
227		 VARY	6286	
228		 ANSWER	6262	
229		 PERFORM	6254	
230		 ARRIVE	6249	
231		 FLY	6237	
232		 FIGHT	6208	
233		 TRANSFER	6159	
234		 PRESENT	6150	
235		 IDENTIFY	6106	
236		 MAINTAIN	6102	
237		 LAY	6087	
238		 TIRE	6084	
239		 REVEAL	6080	
240		 RECALL	5991	
241		 HEAD	5990	
242		 GATHER	5923	
243		 STICK	5889	
244		 INVOLVE	5848	
245		 PROCESS	5817	
246		 RELY	5745	
247		 SUFFER	5734	
248		 RESPOND	5717	
249		 DRAG	5696	
250		 TREAT	5623	
251		 BELONG	5598	
252		 CONTRIBUTE	5585	
253		 DISCUSS	5571	
254		 WAKE	5569	
255		 VIEW	5507	
256		 DANCE	5483	
257		 SPRINKLE	5469	
258		 LAUGH	5455	
259		 RIDE	5375	
260		 PROTECT	5285	
261		 CAST	5277	
262		 INSIST	5275	
263		 CLICK	5272	
264		 DEMAND	5251	
265		 TOSS	5249	
266		 FINISH	5242	
267		 COMPARE	5231	
268		 LACK	5220	
269		 REFER	5190	
270		 PRINT	5181	
271		 SHIFT	5149	
272		 SIGN	5062	
273		 OPERATE	5030	
274		 SOUND	4981	
275		 DEMONSTRATE	4957	
276		 RECOMMEND	4955	
277		 RISE	4935	
278		 CROSS	4917	
279		 COUNT	4916	
280		 BEAR	4873	
281		 DIFFER	4846	
282		 INFLUENCE	4845	
283		 IMPROVE	4842	
284		 DEPEND	4836	
285		 EXERCISE	4820	
286		 ENGAGE	4817	
287		 ADMIT	4813	
288		 FEED	4806	
289		 PRAY	4792	
290		 VOTE	4744	
291		 OWE	4669	
292		 RANGE	4634	
293		 ACCOUNT	4632	
294		 LIFT	4565	
295		 GRAB	4556	
296		 ATTEND	4533	
297		 RESULT	4502	
298		 SIMMER	4432	
299		 TOUCH	4417	
300		 DEFINE	4353	
301		 GRADE	4346	
302		 JUMP	4315	
303		 WASH	4314	
304		 DETERMINE	4306	
305		 CO-HOST	4231	
306		 CLEAR	4228	
307		 STUDY	4205	
308		 DISCOVER	4204	
309		 PROMOTE	4203	
310		 POP	4190	
311		 MANAGE	4189	
312		 DRESS	4184	
313		 MATTER	4178	
314		 REFUSE	4170	
315		 EARN	4132	
316		 WAN	4115	
317		 EMERGE	4104	
318		 DRAIN	4101	
319		 MEASURE	4033	
320		 BENEFIT	4020	
321		 RESPECT	4009	
322		 MARK	4006	
323		 PARTICIPATE	3994	
324		 ACKNOWLEDGE	3992	
325		 APPROACH	3986	
326		 FUCK	3959	
327		 EXPLORE	3942	
328		 PAINT	3897	
329		 SWEAR	3897	
330		 BLAME	3874	
331		 PREVENT	3846	
332		 RISK	3828	
333		 GAIN	3821	
334		 ATTACK	3815	
335		 SHAKE	3810	
336		 EXTEND	3758	
337		 LAST	3758	
338		 CONSTITUTE	3751	
339		 REMIND	3732	
340		 EXAMINE	3728	
341		 ADDRESS	3695	
342		 COMPLETE	3693	
343		 EXPRESS	3692	
344		 TIME	3692	
345		 IGNORE	3678	
346		 HURT	3657	
347		 TRAIN	3646	
348		 CONNECT	3638	
349		 PREHEAT	3631	
350		 PROGRAM	3625	
351		 RELATE	3619	
352		 PERCEIVE	3604	
353		 WHISK	3604	
354		 STRETCH	3560	
