
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 WAS	3928034	
2		 HAD	1602982	
3		 WERE	1437139	
4		 SAID	1211463	
5		 DID	894839	
6		 CAME	230369	
7		 GOT	228589	
8		 WENT	211776	
9		 MADE	203816	
10		 TOOK	199988	
11		 'D	196441	
12		 THOUGHT	163732	
13		 TOLD	161069	
14		 KNEW	160911	
15		 SAW	145344	
16		 WANTED	145007	
17		 ASKED	144646	
18		 FOUND	144420	
19		 BEGAN	130677	
20		 LOOKED	121996	
21		 FELT	115339	
22		 STARTED	104610	
23		 BECAME	102010	
24		 GAVE	101709	
25		 TURNED	97602	
26		 SEEMED	95389	
27		 LEFT	85211	
28		 HAPPENED	74691	
29		 TRIED	68310	
30		 WROTE	67509	
31		 HEARD	61960	
32		 SAT	61525	
33		 CALLED	60428	
34		 STOOD	57432	
35		 DIED	55587	
36		 SHOWED	55510	
37		 PUT	53258	
38		 RAN	52564	
39		 USED	52047	
40		 NEEDED	50839	
41		 WORKED	50738	
42		 WALKED	49877	
43		 KEPT	49753	
44		 HELD	49311	
45		 DECIDED	46768	
46		 BROUGHT	45748	
47		 MOVED	44490	
48		 FELL	43717	
49		 LOST	43659	
50		 OPENED	43283	
51		 WON	41260	
52		 SPOKE	41067	
53		 GREW	41060	
54		 REPORTED	41041	
55		 MET	40877	
56		 SPENT	40494	
57		 HIT	39012	
58		 APPEARED	37931	
59		 PLAYED	36449	
60		 PULLED	35823	
61		 WATCHED	35393	
62		 LED	34688	
63		 RECEIVED	34542	
64		 INCLUDED	33985	
65		 CONTINUED	33926	
66		 LIVED	33308	
67		 STOPPED	33011	
68		 HELPED	32887	
69		 MEANT	32474	
70		 REACHED	31726	
71		 ADDED	31610	
72		 LEARNED	31188	
73		 SENT	30452	
74		 PASSED	30151	
75		 LOVED	30014	
76		 SET	29706	
77		 REALIZED	29331	
78		 FOLLOWED	28783	
79		 TALKED	28700	
80		 BROKE	27508	
81		 BELIEVED	26432	
82		 LIKED	26432	
83		 SHOOK	26057	
84		 SMILED	25835	
85		 BOUGHT	25297	
86		 ARRIVED	24946	
87		 NODDED	24578	
88		 AGREED	23971	
89		 PICKED	23741	
90		 OFFERED	23704	
91		 DROVE	23550	
92		 ENDED	23442	
93		 RETURNED	23248	
94		 REMAINED	23016	
95		 SUGGESTED	22355	
96		 CLOSED	22056	
97		 RAISED	21979	
98		 ROSE	21939	
99		 WORE	21604	
100		 LAY	21562	
101		 ANNOUNCED	21513	
102		 CAUGHT	21312	
103		 NAMED	21219	
104		 LAUGHED	21100	
105		 DISCOVERED	21012	
106		 POINTED	20605	
107		 CREATED	20573	
108		 EXPLAINED	20373	
109		 KILLED	20363	
110		 CHOSE	20082	
111		 WONDERED	19970	
112		 DROPPED	19831	
113		 JOINED	19814	
114		 CHANGED	19755	
115		 OCCURRED	19607	
116		 THREW	19571	
117		 WAITED	19033	
118		 FAILED	18788	
119		 SERVED	18685	
120		 STARED	18682	
121		 DREW	18575	
122		 INDICATED	18405	
123		 READ	18290	
124		 NOTED	18100	
125		 DESCRIBED	17996	
126		 STAYED	17915	
127		 STEPPED	17790	
128		 PUSHED	17471	
129		 PAID	17448	
130		 SHOT	17240	
131		 ALLOWED	17117	
132		 NOTICED	16827	
133		 CARRIED	16719	
134		 ENTERED	16709	
135		 REMEMBERED	16289	
136		 MENTIONED	16014	
137		 REPLIED	15600	
138		 REFUSED	15415	
139		 INVOLVED	15163	
