
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 BEEN	1030405	
2		 MADE	183553	
3		 DONE	166505	
4		 GOT	162982	
5		 CALLED	149524	
6		 SEEN	149167	
7		 HAD	139342	
8		 USED	132873	
9		 GIVEN	107779	
10		 TAKEN	107281	
11		 FOUND	103384	
12		 KNOWN	99883	
13		 BASED	96656	
14		 GONE	96540	
15		 LEFT	74299	
16		 SAID	72407	
17		 COME	65194	
18		 HEARD	59195	
19		 TOLD	57726	
20		 LOST	54591	
21		 BECOME	54255	
22		 ASKED	49695	
23		 CONSIDERED	47829	
24		 PUT	47024	
25		 SET	46255	
26		 BORN	46003	
27		 HELD	44957	
28		 DESIGNED	43096	
29		 WRITTEN	42988	
30		 EXPECTED	42794	
31		 SHOWN	41592	
32		 NEEDED	41256	
33		 CHANGED	40937	
34		 BUILT	40519	
35		 BROUGHT	40421	
36		 REQUIRED	39911	
37		 KILLED	39044	
38		 COMPARED	37955	
39		 ASSOCIATED	37290	
40		 LOOKED	35955	
41		 WORKED	35954	
42		 LED	35510	
43		 ALLOWED	35474	
44		 CREATED	34881	
45		 THOUGHT	34676	
46		 TURNED	34210	
47		 DEVELOPED	33553	
48		 SPENT	33184	
49		 MOVED	32310	
50		 RELATED	32310	
51		 REPORTED	32102	
52		 PAID	31540	
53		 GOTTEN	31512	
54		 CUT	30375	
55		 LEARNED	29684	
56		 PROVIDED	29352	
57		 IDENTIFIED	29207	
58		 SENT	28955	
59		 HAPPENED	28627	
60		 MET	27898	
61		 PLAYED	27628	
62		 CAUGHT	27586	
63		 PUBLISHED	27037	
64		 NAMED	26990	
65		 GROWN	26926	
66		 PLACED	26877	
67		 DESCRIBED	26845	
68		 FILLED	26702	
69		 PASSED	26673	
70		 RAISED	26540	
71		 RUN	26538	
72		 PREPARED	26326	
73		 RELEASED	26238	
74		 FOLLOWED	26133	
75		 SOLD	24422	
76		 COVERED	24227	
77		 FORCED	23954	
78		 INCLUDED	23912	
79		 HELPED	23392	
80		 SERVED	23316	
81		 PRESENTED	23121	
82		 BEGUN	22889	
83		 DRAWN	22775	
84		 FOCUSED	22713	
85		 DETERMINED	22675	
86		 KEPT	22467	
87		 PRODUCED	22462	
88		 RECEIVED	21975	
89		 WON	21763	
90		 STARTED	21571	
91		 OFFERED	21177	
92		 CONDUCTED	21110	
93		 TRIED	21034	
94		 WANTED	21024	
95		 TREATED	20580	
96		 TALKED	20554	
97		 LIVED	20500	
98		 CAUSED	20238	
99		 RETURNED	20191	
100		 STOPPED	19966	
101		 ESTABLISHED	19887	
102		 READ	19797	
103		 REACHED	19623	
104		 LIMITED	19608	
105		 SHOT	19504	
106		 DRESSED	19102	
107		 HIT	18963	
108		 TAUGHT	18912	
109		 DECIDED	18702	
110		 CHARGED	18544	
111		 HEADED	18069	
112		 COMMITTED	18066	
113		 INVOLVED	17868	
114		 DEFINED	17568	
115		 BROKEN	17074	
116		 LOCATED	16973	
117		 FINISHED	16838	
118		 FELT	16834	
119		 INCREASED	16711	
120		 AFFECTED	16684	
