
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 BE	2401445	
2		 HAVE	932395	
3		 DO	498432	
4		 GET	469221	
5		 MAKE	348148	
6		 SEE	340298	
7		 GO	318287	
8		 KNOW	317280	
9		 TAKE	260766	
10		 SAY	258952	
11		 THINK	226764	
12		 FIND	162516	
13		 WANT	162108	
14		 COME	161749	
15		 HELP	154060	
16		 TELL	147430	
17		 GIVE	128197	
18		 KEEP	123423	
19		 LOOK	115429	
20		 WORK	112068	
21		 LIKE	107410	
22		 USE	105743	
23		 TALK	97190	
24		 PUT	84579	
25		 FEEL	83108	
26		 ASK	77079	
27		 HEAR	76460	
28		 UNDERSTAND	75538	
29		 PLAY	71281	
30		 BELIEVE	69931	
31		 BECOME	69448	
32		 TRY	69440	
33		 BRING	68121	
34		 PAY	67266	
35		 NEED	63758	
36		 LEAVE	62439	
37		 PROVIDE	61947	
38		 LET	61759	
39		 STOP	60329	
40		 CHANGE	60104	
41		 HAPPEN	59952	
42		 SHOW	59391	
43		 MOVE	59069	
44		 START	56899	
45		 CALL	56850	
46		 STAY	55722	
47		 MEAN	53677	
48		 MEET	53603	
49		 LIVE	53357	
50		 CREATE	50284	
51		 TURN	49931	
52		 LEARN	49824	
53		 BUY	49217	
54		 RUN	49158	
55		 CONTINUE	45846	
56		 WIN	44591	
57		 REMEMBER	44043	
58		 READ	40696	
59		 SPEAK	40635	
60		 SEEM	40128	
61		 HOLD	39853	
62		 BUILD	39459	
63		 SUPPORT	36951	
64		 ALLOW	36639	
65		 BEGIN	36196	
66		 PROTECT	36164	
67		 EXPLAIN	34278	
68		 WRITE	33802	
69		 LEAD	33797	
70		 DEVELOP	33447	
71		 KILL	33443	
72		 SPEND	32993	
73		 WATCH	32959	
74		 AVOID	32563	
75		 EAT	31986	
76		 REACH	31615	
77		 STAND	31343	
78		 SAVE	31264	
79		 LOSE	30646	
80		 EXPECT	30472	
81		 DETERMINE	30450	
82		 SIT	29240	
83		 INCLUDE	29233	
84		 CONSIDER	29214	
85		 FOLLOW	29175	
86		 IMPROVE	29066	
87		 DEAL	29045	
88		 END	28986	
89		 CARE	28926	
90		 SEND	28565	
91		 WAIT	28529	
92		 SELL	28429	
93		 PREVENT	27899	
94		 REDUCE	27836	
95		 OFFER	27660	
96		 SERVE	27595	
97		 RETURN	27364	
98		 WALK	27327	
99		 PICK	27172	
100		 IMAGINE	27019	
101		 GROW	26994	
102		 INCREASE	26981	
103		 DIE	26584	
104		 RAISE	26477	
105		 SET	26162	
106		 ANSWER	26150	
107		 CUT	26109	
108		 PRODUCE	26090	
109		 BREAK	25441	
110		 PASS	25332	
111		 ADD	24401	
112		 OPEN	24351	
113		 FIGHT	24131	
114		 ACCEPT	23877	
115		 JOIN	23855	
116		 LOVE	23834	
117		 IDENTIFY	23701	
118		 CARRY	23636	
119		 AGREE	23155	
120		 SHARE	22544	
121		 WORRY	22509	
122		 ADDRESS	22144	
123		 TEACH	21824	
124		 PROVE	21742	
125		 REMAIN	21620	
126		 APPEAR	21239	
127		 DECIDE	21057	
128		 MAINTAIN	20955	
129		 RESPOND	20937	
130		 FALL	20803	
131		 CATCH	20686	
132		 DRIVE	20609	
133		 REALIZE	20598	
134		 CHOOSE	20495	
135		 ENSURE	20473	
136		 AFFORD	20443	
137		 FACE	20381	
138		 PULL	20271	
139		 FORGET	20177	
140		 ACHIEVE	20123	
141		 RECOGNIZE	20003	
142		 REQUIRE	19965	
143		 LISTEN	19892	
144		 CONTROL	19804	
145		 FIGURE	19616	
146		 FOCUS	19343	
147		 COVER	19333	
148		 RECEIVE	19317	
149		 DISCUSS	19220	
150		 CAUSE	19164	
151		 HANDLE	18980	
152		 VOTE	18600	
153		 ACT	18558	
154		 CHECK	18155	
155		 WEAR	18026	
156		 MATTER	16799	
157		 SLEEP	16579	
158		 DESCRIBE	16302	
159		 SURVIVE	16227	
160		 VISIT	16185	
161		 DRAW	15861	
162		 AFFECT	15797	
163		 HIT	15756	
164		 ENJOY	15609	
165		 FILL	15539	
166		 FIT	15468	
167		 ESTABLISH	15303	
168		 MENTION	15278	
169		 PARTICIPATE	15242	
170		 PUSH	15210	
171		 PERFORM	15128	
172		 THROW	15048	
173		 APPLY	14800	
174		 HURT	14567	
175		 PROMOTE	14438	
176		 SUGGEST	14376	
177		 SEEK	14202	
178		 EXAMINE	14183	
179		 ENTER	14124	
180		 SOLVE	13805	
181		 STUDY	13803	
182		 EXIST	13775	
183		 MIND	13728	
184		 GAIN	13611	
185		 MISS	13493	
186		 REPLACE	13353	
187		 ENCOURAGE	13341	
188		 ATTEND	13217	
189		 OCCUR	13217	
190		 FORM	13207	
191		 CLOSE	13098	
192		 MANAGE	13088	
193		 REMOVE	13078	
194		 ARGUE	12930	
195		 FLY	12815	
196		 EXPLORE	12764	
197		 DROP	12713	
198		 SOUND	12695	
199		 ADMIT	12628	
200		 LAST	12416	
201		 REPORT	12335	
202		 TOUCH	12324	
203		 DEFEND	12242	
204		 PREPARE	12232	
205		 FINISH	12182	
206		 TREAT	12151	
207		 COST	12120	
208		 DELIVER	12011	
209		 SHOOT	11941	
210		 EXPAND	11892	
211		 SIGN	11887	
212		 HIDE	11820	
213		 ENGAGE	11803	
214		 TEST	11624	
215		 ASSESS	11573	
216		 NOTICE	11554	
217		 BEAT	11526	
218		 BENEFIT	11441	
219		 RISE	11431	
220		 REFLECT	11428	
221		 FIX	11394	
222		 TRUST	11373	
223		 REPRESENT	11352	
224		 COMPLETE	11209	
225		 POINT	11155	
226		 STEP	11111	
227		 REVEAL	11093	
228		 ESCAPE	11027	
229		 ASSUME	10829	
230		 COUNT	10796	
231		 BLAME	10671	
232		 TRAVEL	10627	
233		 COMPETE	10612	
234		 FORCE	10595	
235		 RESULT	10577	
236		 DRINK	10518	
237		 SING	10482	
238		 BEAR	10477	
239		 PRESENT	10467	
240		 'VE	10426	
241		 PURSUE	10397	
242		 LIE	10203	
243		 OBTAIN	9932	
244		 MARRY	9815	
245		 DESTROY	9794	
246		 CONVINCE	9643	
247		 EXPERIENCE	9605	
248		 HOPE	9582	
249		 SETTLE	9543	
250		 MATCH	9530	
251		 INVESTIGATE	9488	
252		 SUCCEED	9482	
253		 PLACE	9476	
254		 HANG	9446	
255		 CONTRIBUTE	9293	
256		 EXPRESS	9269	
257		 DISCOVER	9245	
258		 APPRECIATE	9137	
259		 BOTHER	9033	
260		 DEFINE	9024	
261		 TASTE	8961	
262		 COLLECT	8934	
263		 EARN	8925	
264		 CRY	8917	
265		 MEASURE	8914	
266		 ELIMINATE	8906	
267		 DEMONSTRATE	8846	
268		 ENHANCE	8822	
269		 OPERATE	8707	
270		 LAUGH	8647	
271		 IGNORE	8566	
272		 GENERATE	8527	
273		 JUMP	8516	
274		 FEED	8481	
275		 PRESERVE	8443	
276		 INFLUENCE	8427	
277		 COMMUNICATE	8409	
278		 CLEAN	8395	
279		 INDICATE	8384	
280		 STICK	8323	
281		 EVALUATE	8267	
282		 THANK	8244	
283		 RECALL	8215	
284		 EXTEND	8155	
285		 COMPARE	8072	
286		 ATTRACT	8024	
287		 INTRODUCE	8022	
288		 RIDE	8009	
289		 ATTACK	8003	
290		 ASSIST	7868	
291		 CLAIM	7849	
292		 CAPTURE	7837	
293		 PREDICT	7814	
294		 HIRE	7799	
295		 WONDER	7752	
296		 VIEW	7748	
297		 OVERCOME	7734	
298		 CONDUCT	7730	
299		 SUFFER	7667	
300		 NAME	7632	
301		 DENY	7619	
302		 CONTAIN	7603	
303		 CELEBRATE	7540	
304		 RELEASE	7530	
305		 PLAN	7514	
306		 IMPLEMENT	7510	
307		 REST	7509	
308		 ACCOMPLISH	7404	
309		 LIMIT	7380	
310		 RESTORE	7372	
311		 RESIST	7366	
312		 ORDER	7293	
313		 COMMENT	7236	
314		 REMIND	7234	
315		 INVEST	7219	
316		 ARRIVE	7093	
317		 ADOPT	7087	
318		 STRIKE	7047	
319		 RESOLVE	7001	
320		 NEGOTIATE	6994	
321		 RECOVER	6991	
322		 LIFT	6910	
323		 COOK	6904	
324		 CHALLENGE	6867	
325		 CONNECT	6866	
326		 SHAKE	6834	
327		 RELY	6826	
328		 CLEAR	6826	
329		 DETECT	6815	
330		 WAKE	6791	
331		 COMMIT	6782	
332		 CROSS	6777	
333		 LAY	6740	
334		 FAIL	6720	
335		 INVOLVE	6718	
336		 ACCOMMODATE	6645	
337		 SLOW	6644	
338		 LAUNCH	6618	
339		 SECURE	6571	
340		 JUSTIFY	6525	
341		 GATHER	6503	
342		 OWN	6498	
343		 SHUT	6480	
344		 BLOW	6473	
345		 ACKNOWLEDGE	6455	
346		 TRACK	6436	
347		 WISH	6435	
348		 BURN	6408	
349		 ROLL	6402	
350		 QUESTION	6384	
351		 NOTE	6360	
352		 HEAD	6310	
353		 CLIMB	6288	
354		 MONITOR	6262	
355		 EMERGE	6245	
356		 SPREAD	6212	
357		 BREATHE	6135	
358		 OBSERVE	6127	
359		 PURCHASE	6105	
360		 LOWER	6085	
361		 JUDGE	6080	
362		 ENABLE	6060	
363		 ADJUST	5921	
364		 ACCOUNT	5914	
365		 REACT	5850	
366		 GRAB	5842	
367		 DEPEND	5828	
368		 LAND	5784	
369		 PAINT	5783	
370		 GUIDE	5777	
371		 FACILITATE	5775	
372		 SEARCH	5775	
373		 BLOCK	5759	
374		 QUIT	5758	
375		 SUSTAIN	5752	
376		 ANALYZE	5717	
377		 CONFIRM	5706	
378		 REVIEW	5625	
379		 ORGANIZE	5597	
380		 FIRE	5566	
381		 SMELL	5563	
382		 ACQUIRE	5546	
383		 BALANCE	5486	
384		 EXERCISE	5452	
385		 RECORD	5446	
386		 SHIFT	5437	
387		 DISTINGUISH	5411	
388		 KICK	5379	
389		 STEAL	5367	
390		 TRAIN	5361	
391		 COPE	5348	
392		 CONCENTRATE	5346	
393		 DISAPPEAR	5312	
394		 DANCE	5290	
395		 STRENGTHEN	5265	
396		 IMPOSE	5262	
397		 PREFER	5255	
398		 GUESS	5254	
399		 DESIGN	5228	
400		 EMBRACE	5202	
401		 REPEAT	5194	
402		 BOOST	5160	
403		 SEPARATE	5147	
404		 SATISFY	5121	
405		 TRANSFORM	5074	
406		 CONFRONT	5053	
407		 MINIMIZE	5053	
408		 PERSUADE	5029	
409		 HATE	5019	
410		 RETAIN	5017	
411		 ADVANCE	5002	
412		 RELATE	4970	
413		 SELECT	4965	
414		 APPROACH	4944	
415		 INFORM	4928	
416		 QUALIFY	4911	
417		 ATTEMPT	4903	
418		 LOCATE	4884	
419		 TESTIFY	4866	
420		 RELAX	4837	
421		 EASE	4829	
422		 RECOMMEND	4828	
423		 RULE	4825	
424		 ALTER	4815	
425		 STATE	4813	
426		 PROCEED	4788	
427		 RESPECT	4761	
428		 SLIP	4718	
429		 ENFORCE	4707	
430		 APPEAL	4695	
431		 FREE	4690	
432		 TRADE	4689	
433		 GUARANTEE	4684	
434		 APPROVE	4674	
435		 EMPHASIZE	4665	
436		 FUND	4657	
437		 RISK	4654	
438		 ACCESS	4595	
439		 CHARGE	4589	
440		 HONOR	4570	
441		 RETIRE	4558	
442		 FUNCTION	4555	
443		 BELONG	4551	
444		 CORRECT	4543	
445		 BET	4536	
446		 EDUCATE	4535	
447		 REFER	4534	
448		 DIRECT	4504	
449		 ABANDON	4492	
450		 INTERPRET	4492	
451		 WASH	4483	
452		 REBUILD	4478	
453		 DIG	4434	
454		 CONCLUDE	4432	
455		 SMILE	4412	
456		 PRAY	4411	
457		 ASSURE	4410	
458		 ANNOUNCE	4404	
459		 DEMAND	4393	
460		 FILE	4387	
461		 PERMIT	4387	
462		 PRESS	4373	
463		 KNOCK	4361	
464		 KISS	4330	
465		 PLEASE	4319	
466		 YIELD	4303	
467		 PRETEND	4288	
468		 WITHDRAW	4249	
469		 INCORPORATE	4195	
470		 FORGIVE	4168	
471		 ADAPT	4155	
472		 FULFILL	4149	
473		 COMPLAIN	4147	
474		 COOPERATE	4108	
475		 SHAPE	4102	
476		 SWITCH	4049	
477		 BORROW	4039	
478		 REGULATE	4019	
479		 BACK	3985	
480		 VARY	3982	
481		 SCORE	3971	
482		 CONTACT	3961	
483		 INVITE	3955	
484		 MARKET	3943	
485		 TIE	3943	
486		 SUBMIT	3905	
487		 HEAL	3902	
488		 CONSTRUCT	3900	
489		 COMPLY	3894	
490		 DISAGREE	3893	
491		 CONVEY	3891	
492		 HUNT	3891	
493		 MARK	3878	
494		 SURPRISE	3878	
495		 INSTALL	3877	
496		 TRANSFER	3875	
497		 WASTE	3875	
498		 FEAR	3867	
499		 TOLERATE	3866	
500		 TRANSLATE	3819	
501		 SWIM	3819	
502		 PUBLISH	3802	
503		 ABSORB	3798	
504		 DIFFER	3759	
505		 SUPPLY	3751	
506		 ISSUE	3750	
507		 REGISTER	3747	
508		 COOL	3730	
509		 INTEGRATE	3719	
510		 DRY	3713	
511		 CLARIFY	3633	
512		 COMBINE	3608	
513		 JAIL	3590	
514		 DEFEAT	3589	
515		 WELCOME	3572	
516		 CRACK	3570	
517		 WEIGH	3569	
