
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 GET	469221	
2		 MAKE	348148	
3		 SEE	340298	
4		 GO	318287	
5		 KNOW	317280	
6		 TAKE	260766	
7		 SAY	258952	
8		 THINK	226764	
9		 FIND	162516	
10		 WANT	162108	
11		 COME	161749	
12		 HELP	154060	
13		 TELL	147430	
14		 GIVE	128197	
15		 KEEP	123424	
16		 LOOK	115429	
17		 WORK	112068	
18		 LIKE	107410	
19		 USE	105743	
20		 TALK	97190	
21		 PUT	84579	
22		 FEEL	83108	
23		 ASK	77079	
24		 HEAR	76460	
25		 UNDERSTAND	75538	
26		 PLAY	71281	
27		 BELIEVE	69931	
28		 BECOME	69448	
29		 TRY	69440	
30		 BRING	68121	
31		 PAY	67266	
32		 NEED	63758	
33		 LEAVE	62439	
34		 PROVIDE	61947	
35		 LET	61759	
36		 STOP	60329	
37		 CHANGE	60104	
38		 HAPPEN	59952	
39		 SHOW	59391	
40		 MOVE	59069	
41		 START	56899	
42		 CALL	56851	
43		 STAY	55722	
44		 MEAN	53677	
45		 MEET	53603	
46		 LIVE	53357	
47		 CREATE	50284	
48		 TURN	49931	
49		 LEARN	49824	
50		 BUY	49217	
51		 RUN	49158	
52		 CONTINUE	45846	
53		 WIN	44591	
54		 REMEMBER	44043	
55		 READ	40696	
56		 SPEAK	40635	
57		 SEEM	40128	
58		 HOLD	39853	
59		 BUILD	39459	
60		 SUPPORT	36951	
61		 ALLOW	36639	
62		 BEGIN	36196	
63		 PROTECT	36164	
64		 EXPLAIN	34279	
65		 WRITE	33802	
66		 LEAD	33797	
67		 DEVELOP	33447	
68		 KILL	33443	
69		 SPEND	32993	
70		 WATCH	32959	
71		 AVOID	32563	
72		 EAT	31986	
73		 REACH	31615	
74		 STAND	31343	
75		 SAVE	31264	
76		 LOSE	30646	
77		 EXPECT	30472	
78		 DETERMINE	30450	
79		 SIT	29240	
80		 INCLUDE	29233	
81		 CONSIDER	29214	
82		 FOLLOW	29175	
83		 IMPROVE	29066	
84		 DEAL	29045	
85		 END	28986	
86		 CARE	28926	
87		 SEND	28565	
88		 WAIT	28529	
89		 SELL	28429	
90		 PREVENT	27899	
91		 REDUCE	27836	
92		 OFFER	27660	
93		 SERVE	27595	
94		 RETURN	27364	
95		 WALK	27327	
96		 PICK	27172	
97		 IMAGINE	27019	
98		 GROW	26994	
99		 INCREASE	26981	
100		 DIE	26584	
101		 RAISE	26477	
102		 SET	26162	
103		 ANSWER	26150	
104		 CUT	26109	
105		 PRODUCE	26090	
106		 BREAK	25441	
107		 PASS	25332	
108		 ADD	24401	
109		 OPEN	24351	
110		 FIGHT	24131	
111		 ACCEPT	23877	
112		 JOIN	23855	
113		 LOVE	23834	
114		 IDENTIFY	23701	
115		 CARRY	23636	
116		 AGREE	23155	
117		 SHARE	22544	
118		 WORRY	22509	
119		 ADDRESS	22144	
120		 TEACH	21824	
121		 PROVE	21742	
122		 REMAIN	21620	
123		 APPEAR	21239	
124		 DECIDE	21057	
125		 MAINTAIN	20955	
126		 RESPOND	20937	
127		 FALL	20803	
128		 CATCH	20686	
129		 DRIVE	20609	
130		 REALIZE	20598	
131		 CHOOSE	20495	
132		 ENSURE	20473	
133		 AFFORD	20443	
134		 FACE	20381	
135		 PULL	20271	
136		 FORGET	20177	
137		 ACHIEVE	20123	
138		 RECOGNIZE	20003	
139		 REQUIRE	19965	
140		 LISTEN	19892	
141		 CONTROL	19804	
142		 FIGURE	19616	
143		 FOCUS	19343	
144		 COVER	19333	
145		 RECEIVE	19317	
146		 DISCUSS	19220	
147		 CAUSE	19164	
148		 HANDLE	18980	
149		 VOTE	18600	
150		 ACT	18558	
151		 CHECK	18155	
152		 WEAR	18026	
153		 MATTER	16799	
154		 SLEEP	16579	
155		 DESCRIBE	16302	
156		 SURVIVE	16227	
157		 VISIT	16185	
158		 DRAW	15861	
159		 AFFECT	15797	
160		 HIT	15756	
161		 ENJOY	15609	
162		 FILL	15539	
163		 FIT	15468	
164		 ESTABLISH	15303	
165		 MENTION	15278	
166		 PARTICIPATE	15242	
167		 PUSH	15210	
168		 PERFORM	15128	
169		 THROW	15048	
170		 APPLY	14800	
171		 HURT	14567	
172		 PROMOTE	14438	
173		 SUGGEST	14376	
174		 SEEK	14202	
175		 EXAMINE	14183	
176		 ENTER	14124	
177		 SOLVE	13805	
178		 STUDY	13803	
179		 EXIST	13775	
180		 MIND	13728	
181		 GAIN	13611	
182		 MISS	13493	
183		 REPLACE	13353	
184		 ENCOURAGE	13341	
185		 ATTEND	13217	
186		 OCCUR	13217	
187		 FORM	13207	
188		 CLOSE	13098	
189		 MANAGE	13088	
190		 REMOVE	13078	
191		 ARGUE	12930	
192		 FLY	12815	
193		 EXPLORE	12765	
194		 DROP	12713	
195		 SOUND	12695	
196		 ADMIT	12628	
197		 LAST	12416	
