
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 GOING	620392	
2		 BEING	338320	
3		 DOING	186476	
4		 TRYING	155561	
5		 LOOKING	151706	
6		 HAVING	151553	
7		 MAKING	150254	
8		 GETTING	149140	
9		 USING	136392	
10		 SAYING	130162	
11		 COMING	128844	
12		 WORKING	123015	
13		 TALKING	115158	
14		 TAKING	111295	
15		 RUNNING	65248	
16		 PLAYING	64706	
17		 THINKING	59269	
18		 WATCHING	58990	
19		 MOVING	58312	
20		 GIVING	55428	
21		 SITTING	54537	
22		 LIVING	50498	
23		 WAITING	50093	
24		 SEEING	47474	
25		 LEAVING	46591	
26		 STANDING	44309	
27		 HOLDING	43806	
28		 TELLING	43518	
29		 READING	42398	
30		 ASKING	41243	
31		 PUTTING	39353	
32		 FOLLOWING	39115	
33		 LEARNING	37339	
34		 STARTING	37197	
35		 CALLING	37137	
36		 WEARING	37101	
37		 WRITING	34703	
38		 KEEPING	33389	
39		 BECOMING	33169	
40		 SPEAKING	33167	
41		 WALKING	33116	
42		 TURNING	32944	
43		 FEELING	32117	
44		 FINDING	31995	
45		 CREATING	30902	
46		 GON	30488	
47		 KNOWING	30148	
48		 SHOWING	29185	
49		 GROWING	29184	
50		 BEGINNING	29075	
51		 HELPING	28768	
52		 PROVIDING	28588	
53		 TEACHING	28423	
54		 HAPPENING	27991	
55		 SERVING	27322	
56		 JOINING	27278	
57		 PAYING	27160	
58		 LOSING	26775	
59		 FIGHTING	25689	
60		 LEADING	25678	
61		 BRINGING	25329	
62		 DRIVING	24943	
63		 LISTENING	24469	
64		 FACING	24307	
65		 SEEKING	23693	
66		 SELLING	23375	
67		 DEALING	22925	
68		 SPENDING	22788	
69		 HOPING	22448	
70		 CARRYING	22395	
71		 EATING	22303	
72		 SINGING	22257	
73		 HEARING	22163	
74		 ADDING	22030	
75		 FALLING	21631	
76		 MEETING	21101	
77		 LYING	21028	
78		 RISING	20723	
79		 WINNING	20540	
80		 BUILDING	20504	
81		 ALLOWING	20383	
82		 BUYING	20042	
83		 CHANGING	19933	
84		 SETTING	19459	
85		 RAISING	19180	
86		 MISSING	19130	
87		 PUSHING	18999	
88		 PLANNING	18962	
89		 OFFERING	18684	
90		 BREAKING	17988	
91		 STARING	17426	
92		 SENDING	17311	
93		 PULLING	17179	
94		 WONDERING	16953	
95		 ACTING	16819	
96		 DEVELOPING	16819	
97		 CUTTING	16768	
98		 INVOLVING	16681	
99		 STUDYING	16664	
100		 OPENING	16655	
101		 KILLING	16616	
102		 HANGING	16581	
103		 LAUGHING	16336	
104		 REACHING	16208	
105		 LETTING	15625	
106		 RETURNING	15252	
107		 RECEIVING	14407	
108		 DRINKING	14356	
109		 STAYING	14294	
110		 UNDERSTANDING	13946	
111		 SHARING	13871	
112		 COVERING	13776	
113		 REDUCING	13756	
114		 POINTING	13743	
115		 PREPARING	13695	
116		 RIDING	13687	
117		 PICKING	13610	
118		 FLYING	13581	
119		 HEADING	13331	
120		 HITTING	13186	
121		 THROWING	13017	
122		 SUGGESTING	13016	
123		 SEARCHING	12959	
124		 PASSING	12883	
125		 DRAWING	12707	
126		 CAUSING	12681	
127		 WANTING	12646	
128		 SHOOTING	12567	
129		 PRODUCING	12512	
130		 SHAKING	12471	
131		 ENTERING	12426	
132		 TRAVELING	12345	
133		 FOCUSING	12252	
134		 MEANING	12209	
135		 DYING	12040	
136		 STRUGGLING	11863	
137		 SMILING	11504	
138		 SUPPORTING	11455	
139		 REPORTING	11416	
140		 RANGING	11250	
141		 PROTECTING	11110	
142		 TESTING	10987	
143		 REPRESENTING	10958	
144		 COOKING	10948	
145		 CRYING	10948	
146		 MAINTAINING	10664	
147		 REFERRING	10663	
148		 INCREASING	10624	
149		 OPERATING	10490	
150		 SCREAMING	10169	
151		 PROMOTING	10144	
152		 CONTINUING	10076	
153		 DISCUSSING	9953	
154		 EXPECTING	9874	
155		 ATTENDING	9799	
156		 SURROUNDING	9770	
157		 EXPLAINING	9766	
158		 STOPPING	9727	
159		 REQUIRING	9698	
160		 DROPPING	9666	
161		 SUFFERING	9626	
162		 SLEEPING	9594	
163		 HIDING	9558	
164		 DESCRIBING	9528	
165		 RACING	9524	
166		 CONTAINING	9523	
167		 SAVING	9500	
168		 EXAMINING	9499	
169		 ARGUING	9462	
170		 CHECKING	9449	
171		 FILLING	9399	
172		 PERFORMING	9358	
173		 CONSIDERING	9306	
174		 IDENTIFYING	9264	
175		 ADDRESSING	9134	
176		 LEANING	9118	
177		 RESPONDING	9107	
178		 ROLLING	8987	
179		 FAILING	8896	
180		 BEATING	8729	
181		 ESTABLISHING	8722	
182		 ENDING	8697	
183		 INDICATING	8692	
184		 CHOOSING	8639	
185		 VISITING	8554	
186		 ATTEMPTING	8553	
187		 DANCING	8548	
188		 THREATENING	8522	
189		 ENJOYING	8406	
190		 FORCING	8368	
191		 CLOSING	8354	
192		 FEATURING	8267	
193		 COLLECTING	8156	
194		 RESULTING	8131	
195		 DEMANDING	8127	
196		 ASSUMING	8084	
197		 APPROACHING	8047	
198		 TREATING	8036	
199		 STIRRING	7989	
200		 INVESTIGATING	7968	
201		 FEEDING	7964	
202		 DATING	7946	
203		 BURNING	7892	
204		 INCLUDING	7843	
205		 EXPLORING	7834	
206		 APPLYING	7800	
207		 CLAIMING	7738	
208		 CATCHING	7688	
209		 CONTROLLING	7527	
210		 IMPROVING	7519	
211		 NOTING	7509	
212		 COUNTING	7455	
213		 PLACING	7450	
214		 COMPARING	7443	
215		 ACCEPTING	7269	
216		 RUSHING	7212	
217		 BREATHING	7141	
218		 FORMING	7105	
219		 BLOWING	7093	
220		 CONTRIBUTING	7070	
221		 MEASURING	7054	
222		 EXPERIENCING	7049	
223		 STEPPING	7042	
224		 PARTICIPATING	6998	
225		 CONDUCTING	6982	
226		 REFLECTING	6959	
227		 PURSUING	6898	
228		 HOUSING	6895	
229		 REMOVING	6880	
230		 REMEMBERING	6816	
231		 ACHIEVING	6794	
232		 INTERVIEWING	6761	
233		 GAINING	6735	
234		 CROSSING	6702	
235		 AVOIDING	6657	
236		 ARRIVING	6641	
237		 PREVENTING	6624	
238		 DECIDING	6592	
239		 DETERMINING	6581	
240		 CLIMBING	6579	
241		 EARNING	6543	
242		 DEFENDING	6528	
243		 LAYING	6504	
244		 AFFECTING	6439	
245		 CLEANING	6428	
246		 TOUCHING	6420	
247		 LACKING	6402	
248		 RECOGNIZING	6358	
249		 HANDLING	6333	
250		 IGNORING	6309	
251		 PRACTICING	6300	
252		 OBSERVING	6294	
253		 EXPANDING	6271	
254		 ATTACKING	6230	
255		 ASSESSING	6227	
256		 BEARING	6217	
257		 REMAINING	6213	
258		 BELIEVING	6189	
259		 SHOUTING	6154	
260		 REVEALING	6119	
261		 REPLACING	6109	
262		 GATHERING	6107	
263		 REALIZING	6065	
264		 OCCURRING	6059	
265		 DRESSING	6042	
266		 SMOKING	6023	
267		 ENGAGING	6016	
268		 IMPLEMENTING	6011	
269		 SHOPPING	5973	
270		 APPEARING	5904	
271		 MONITORING	5901	
272		 EXTENDING	5858	
273		 COPING	5819	
274		 LIFTING	5795	
275		 STICKING	5780	
276		 YELLING	5770	
277		 KIDDING	5734	
278		 CHALLENGING	5708	
279		 COMPETING	5701	
280		 SWIMMING	5620	
281		 EMERGING	5618	
282		 CELEBRATING	5586	
283		 FLOATING	5547	
284		 KICKING	5537	
285		 HIRING	5533	
286		 DELIVERING	5494	
287		 PRESSING	5465	
288		 PRESENTING	5455	
289		 COMPLETING	5415	
290		 MANAGING	5412	
291		 HURTING	5373	
292		 SIGNING	5336	
293		 SPREADING	5299	
294		 SPINNING	5298	
295		 CITING	5279	
296		 ORGANIZING	5275	
297		 JUMPING	5251	
298		 INVESTING	5223	
299		 DESIGNING	5212	
300		 CHASING	5203	
301		 STRIKING	5183	
302		 EVALUATING	5179	
303		 STEALING	5173	
304		 STRETCHING	5168	
305		 REFUSING	5160	
306		 WAVING	5106	
307		 VOTING	5095	
308		 URGING	5091	
309		 ELIMINATING	5085	
310		 COMPLAINING	5071	
311		 BAKING	5060	
312		 INTRODUCING	5025	
313		 CARING	5023	
314		 RESTING	4997	
315		 EXPRESSING	4969	
316		 JUDGING	4958	
317		 DEFINING	4945	
318		 LANDING	4915	
319		 FIRING	4855	
320		 TRADING	4835	
321		 RELATING	4828	
322		 ANALYZING	4821	
323		 FINISHING	4789	
324		 BELONGING	4761	
325		 KNOCKING	4738	
326		 TRAINING	4709	
327		 RECORDING	4670	
328		 SLIPPING	4660	
329		 HIKING	4656	
330		 DESTROYING	4640	
331		 SELECTING	4622	
332		 PRAYING	4588	
333		 DIGGING	4580	
334		 ACCOUNTING	4563	
335		 TARGETING	4553	
336		 FLOWING	4545	
337		 SHIFTING	4482	
338		 SETTLING	4461	
339		 DENYING	4436	
340		 RECOVERING	4420	
341		 QUESTIONING	4364	
342		 RELYING	4358	
343		 SOLVING	4346	
344		 PREDICTING	4316	
345		 PRETENDING	4304	
346		 ENSURING	4299	
347		 ANSWERING	4298	
348		 BACKING	4288	
349		 DEMONSTRATING	4286	
350		 REVIEWING	4269	
351		 COMBINING	4266	
352		 POURING	4205	
353		 NEGOTIATING	4201	
354		 OVERLOOKING	4194	
355		 DIRECTING	4182	
356		 SCORING	4162	
357		 HANDING	4160	
358		 DISCOVERING	4151	
359		 ANNOUNCING	4148	
360		 SWINGING	4139	
361		 AWAITING	4088	
362		 LINKING	4082	
363		 DRAGGING	4055	
364		 PITCHING	4008	
365		 RELEASING	3998	
366		 PROVING	3969	
367		 FUNCTIONING	3956	
368		 VIEWING	3943	
369		 NEEDING	3933	
370		 SLIDING	3930	
371		 OBTAINING	3914	
372		 WASHING	3849	
373		 LOVING	3828	
