
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
1		 WOULD	1209397	
2		 CAN	1130870	
3		 WILL	979100	
4		 COULD	821097	
5		 MAY	410680	
6		 SHOULD	405391	
7		 'LL	366008	
8		 MIGHT	276287	
9		 'D	217699	
10		 MUST	211047	
11		 CA	201863	
12		 'S	92565	
13		 LET	92565	
14		 WO	86150	
15		 USED	53384	
16		 OUGHT	25235	
17		 SHALL	18749	
18		 NEED	6422	
19		 DARE	789	
20		 SHALT	552	
21		 SHA	324	
22		 WILT	186	
23		 	135	
24		 -COULD	25	
25		 -WOULD	24	
26		 C-A	24	
27		 AH-SHA	17	
28		 SPACE-SHOULD	17	
29		 MID-MAY	11	
30		 IT-WOULD	10	
31		 -SHOULD	9	
32		 -MAY	8	
33		 HIM-WOULD	7	
34		 MAYST	7	
35		 WILL/SHOULD	7	
36		 THEM-WOULD	6	
37		 IT-COULD	6	
38		 CA-CA	6	
39		 C-CA	6	
40		 C-C-CA	5	
41		 W-WOULD	5	
42		 WAS-WOULD	4	
43		 YEARS-WOULD	4	
44		 CAN/SHOULD	4	
45		 -POLICE-CA	4	
46		 COULD/SHOULD	4	
47		 DOUBLE-OUGHT	4	
48		 HIM-COULD	4	
49		 GIRL-WOULD	4	
50		 LIFE-WOULD	4	
51		 NOT-WOULD	4	
52		 OUGH	4	
53		 SHOULD-SHOULD	4	
54		 NOT-COULD	4	
55		 PEOPLE-WOULD	4	
56		 OTHERS-WOULD	3	
57		 PEOPLE-COULD	3	
58		 PEOPLE-MAY	3	
59		 NAME-WOULD	3	
60		 MEN-WOULD	3	
61		 MAY/WILL	3	
62		 M-M-MUST	3	
63		 M-MUST	3	
64		 MAN-COULD	3	
65		 EXAMPLE-COULD	3	
66		 IT-MAY	3	
67		 DUNN-WOULD	3	
68		 EXAMPLE-WOULD	3	
69		 -OUGHT	3	
70		 -CA	3	
71		 CAN/WILL	3	
72		 C-C-COULD	3	
73		 YOU-SHOULD	3	
74		 YOU-WOULD	3	
75		 WORLD-COULD	3	
76		 WOULD/SHOULD	3	
77		 TIME-WOULD	3	
78		 THEM-COULD	3	
79		 THEN-WOULD	3	
80		 THEMSELVES-WOULD	3	
81		 THEN-COULD	2	
82		 THINK-SHOULD	2	
83		 THINKING-COULD	2	
84		 THIS-SHOULD	2	
85		 THOUSANDS-WOULD	2	
86		 TOO-WOULD	2	
87		 THEME-COULD	2	
88		 THEMSELVES-MAY	2	
89		 THERE-WOULD	2	
90		 T-SHA	2	
91		 WAY-COULD	2	
92		 THOUGHT-WOULD	2	
93		 TOMORROW-MAY	2	
94		 TOO-COULD	2	
95		 WAY-WOULD	2	
96		 WE-CA	2	
97		 TRIP-COULD	2	
98		 WOMAN-WOULD	2	
99		 YEAR-MAY	2	
100		 WINDS-WOULD	2	
101		 WONDERED-WOULD	2	
102		 WHOOSH-SHA	2	
103		 WERE-WOULD	2	
104		 YOU-COULD	2	
105		 C	2	
106		 ANYBODY-COULD	2	
107		 ART-SHOULD	2	
108		 CARE-MAY	2	
109		 CANCERS-WOULD	2	
110		 COULD-COULD	2	
111		 CONTROL-MAY	2	
112		 COFFEE-WOULD	2	
113		 -SHA	2	
114		 1995-WOULD	2	
115		 30-MAY	2	
116		 ACCOUNTS-WOULD	2	
117		 ALL-WOULD	2	
118		 98-MAY	2	
119		 ANOTHER-MAY	2	
120		 ANYWAY-MAY	2	
121		 ARE-COULD	2	
122		 BEAR-WOULD	2	
123		 CAN/COULD	2	
124		 ELSE-SHOULD	2	
125		 END-MAY	2	
126		 DIED-WOULD	2	
127		 DURABILITY-WOULD	2	
128		 EDUCATION-WOULD	2	
129		 DEVIL-MAY	2	
130		 DEL-SHA	2	
131		 DISEASE-MAY	2	
